freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,3.293332710842897e-12,4.1183067338661865e-12,6.724365676863707e-13,8.249005692366116e-13,9.506392844961506e-13,8.157661574120116e-13,1.7664962256811487e-12,1.3759313187324948e-12,8.0,1.1124098141083717e-12,1.5421680659289867e-12,4.757616680011341e-13,4.770727443176305e-13,5.699053073095655e-13,4.733637095632698e-13,6.763381081214719e-13,6.376964723140366e-13,12.0,9.902284322649298e-13,1.3193328205449882e-12,7.119755684295567e-13,7.598125786576494e-13,8.472948633364029e-13,7.586061652736338e-13,3.047831895586755e-13,4.169378394184892e-13
5.0,2.193788690409356e-12,3.22031969349293e-12,5.773580232751273e-13,6.704529199178704e-13,6.941761170843105e-13,6.578346860794139e-13,1.1783332115638698e-12,9.749713574872685e-13,9.0,1.1490169239057876e-12,1.5363552210328426e-12,4.843944765339525e-13,7.10421406876732e-13,6.640085864001327e-13,7.14492408507678e-13,6.523319957334163e-13,5.615103695789035e-13,13.0,5.414246339491722e-13,7.180619998415978e-13,3.2861669801519055e-13,3.163846144192669e-13,5.063058525271593e-13,3.1407913843904873e-13,2.4651823029988934e-13,2.795526203908106e-13
6.0,1.888564870763597e-12,2.8366961561112516e-12,4.824329344746378e-13,5.159233971605478e-13,6.086909328229277e-13,5.042137798763485e-13,1.0157563174313568e-12,8.973631393816062e-13,10.0,1.6291144826319386e-12,2.0200961302284382e-12,6.872585430538839e-13,1.1705957613323583e-12,8.981715599784623e-13,1.1728479796502063e-12,5.661647099830506e-13,6.01911791554487e-13,14.0,4.37631177724867e-13,5.563516170733086e-13,2.297901719788579e-13,2.1748041132114341e-13,3.6766499984870777e-13,2.1468549199387717e-13,2.0806996677281902e-13,2.4684073785806253e-13
7.0,1.539673920101562e-12,2.0707036025154123e-12,4.553486060057322e-13,4.4227887694626497e-13,5.471637995676771e-13,4.3819400683461345e-13,8.335897301512913e-13,7.839529117185485e-13,11.0,1.7973778396573447e-12,2.1890855858210873e-12,1.0940952549127505e-12,1.6999857769526e-12,1.1086290797287437e-12,1.704996720317796e-12,4.647128028252716e-13,6.339576711999619e-13,15.0,3.9835157059790186e-13,4.946442382918704e-13,2.252861441905116e-13,1.9934121356867586e-13,3.434507537844526e-13,1.969096546995431e-13,2.1336652030326138e-13,2.365304547255589e-13
8.0,1.1124098141083717e-12,1.5421680659289867e-12,4.757616680011341e-13,4.770727443176305e-13,5.699053073095655e-13,4.733637095632698e-13,6.763381081214719e-13,6.376964723140366e-13,12.0,9.902284322649298e-13,1.3193328205449882e-12,7.119755684295567e-13,7.598125786576494e-13,8.472948633364029e-13,7.586061652736338e-13,3.047831895586755e-13,4.169378394184892e-13,16.0,3.94862893682946e-13,5.192430181998913e-13,2.1353676370921014e-13,1.8779405121139004e-13,3.089411185163699e-13,1.879285009414969e-13,2.5023041474517424e-13,2.816901784403796e-13
,,,,,,,,,,,,,,,,,,17.0,3.906901599364954e-13,5.380432802536067e-13,2.064999672252434e-13,1.7321547735289983e-13,3.0359108670352074e-13,1.7154055228815874e-13,2.6577158649081203e-13,2.901413559769617e-13
,,,,,,,,,,,,,,,,,,18.0,4.3724059712094603e-13,5.178000526535251e-13,2.0889602511938134e-13,1.7532362877894512e-13,2.955359305537989e-13,1.734927816349183e-13,2.404442824246143e-13,2.711818485154226e-13
,,,,,,,,,,,,,,,,,,19.0,4.3601137599910333e-13,5.196989148158219e-13,2.0543989379467507e-13,1.7085859237035317e-13,2.7327701816589464e-13,1.6973801197222942e-13,2.1449112749280922e-13,2.5914016528897927e-13
,,,,,,,,,,,,,,,,,,20.0,3.8152753213999815e-13,4.376565437347485e-13,1.7036924935098243e-13,1.423363566275315e-13,2.1526979724218394e-13,1.3997855841020938e-13,1.95164047003199e-13,2.233879379072654e-13
,,,,,,,,,,,,,,,,,,21.0,3.427118109078133e-13,3.5157552289545456e-13,1.5179898077016644e-13,1.4419519612039415e-13,1.7953821560874973e-13,1.4447081401354393e-13,1.5621889462482545e-13,1.7678592431567717e-13
,,,,,,,,,,,,,,,,,,22.0,3.5786800750080713e-13,3.1603728895437136e-13,1.4307288050634563e-13,1.3934210664794056e-13,1.5436329299926836e-13,1.3950694069872995e-13,1.2804511115356466e-13,1.546443597080115e-13
,,,,,,,,,,,,,,,,,,23.0,2.88893127086455e-13,2.866448946857723e-13,1.1618923220293748e-13,9.75841239941221e-14,1.205664121054519e-13,9.704583425648166e-14,9.691099161439426e-14,1.3713957066324512e-13
,,,,,,,,,,,,,,,,,,24.0,2.351023691020294e-13,2.1703531457488247e-13,8.777519435050303e-14,7.27578770944336e-14,9.074767714489627e-14,7.155302340254324e-14,8.201025283006638e-14,1.308808797538663e-13
,,,,,,,,,,,,,,,,,,25.0,1.8389776679596014e-13,1.713168742652602e-13,7.196062029091233e-14,5.38351917668059e-14,7.363156934189175e-14,5.3481068249578084e-14,6.953650427821017e-14,1.0228719552821556e-13
,,,,,,,,,,,,,,,,,,26.0,1.6466735876445211e-13,1.3956268898419118e-13,5.94960479152896e-14,4.6283591378280687e-14,5.642179812665522e-14,4.554320215005064e-14,6.251280638872649e-14,8.765024602035061e-14
,,,,,,,,,,,,,,,,,,27.0,1.5582509113631318e-13,1.3045624332033996e-13,5.539016843578477e-14,4.240532796845353e-14,5.166451718632618e-14,4.2397958262863634e-14,5.989430707740423e-14,9.49768424594895e-14
,,,,,,,,,,,,,,,,,,28.0,1.5425500019984614e-13,1.1347498419412135e-13,5.366532185045402e-14,4.345205355938086e-14,4.6127439783622246e-14,4.3222839349002614e-14,5.215698236424391e-14,1.0121761327246298e-13
,,,,,,,,,,,,,,,,,,29.0,1.3851835899404956e-13,9.714315938098842e-14,4.555085670050099e-14,3.964208963200693e-14,3.764650861771287e-14,3.917816185801936e-14,5.095700182480535e-14,8.334271750392389e-14
,,,,,,,,,,,,,,,,,,30.0,1.2158531921858173e-13,8.923532176411682e-14,4.2156122134483806e-14,3.4837873218909126e-14,3.4793675572322686e-14,3.516316829433425e-14,4.680543734088502e-14,6.964040357855097e-14
