freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.745794110580691e-11,1.533985433830349e-11,1.0029283517733265e-12,2.122095543836694e-11,2.8352704105869158e-11,2.690242310661172e-11,8.87023446964646e-12,1.4383558889164298e-11,8.0,4.0450924322648194e-12,3.72421111233511e-12,2.195263441038693e-13,2.558736785448089e-12,3.873985767109872e-12,4.678380112771501e-12,2.4050656564129054e-12,9.431501628543526e-13,12.0,1.3789274943654696e-11,8.212244118050509e-12,2.627820744670071e-13,6.265451680794624e-12,1.3379389115466584e-11,1.534911695431588e-11,1.2441683158755267e-11,6.141813409147526e-12
5.0,9.574073776342025e-12,2.505733261871605e-12,1.5494760609017874e-12,4.8429361947991485e-12,8.723366463447921e-12,8.462002525903883e-12,4.018206905809999e-12,5.699509133342983e-12,9.0,4.098470114203037e-12,1.162887931534765e-12,3.440154336149291e-13,3.172930978979028e-12,3.3567944288293818e-12,4.155322439558371e-12,4.7466895760940005e-12,8.84866343689102e-13,13.0,1.2593719135828214e-11,4.074143929172808e-12,8.024133705125158e-13,8.707238349906836e-12,1.1099660218668932e-11,1.2224254153998666e-11,8.576442002799824e-12,4.2402727911130725e-12
6.0,1.794793926450297e-11,9.180577516217354e-12,1.9020226844736086e-12,1.3557767518075552e-11,1.7427474481433903e-11,1.736039872798691e-11,5.281446679245926e-12,8.178352737697958e-12,10.0,1.4739155131580265e-11,7.487418844993456e-12,1.0863028999281997e-12,7.964120797130757e-12,1.4236801454601768e-11,1.5612957904038367e-11,1.0246625710958486e-11,4.367995423989975e-12,14.0,3.683773205101024e-12,2.5942925361577493e-12,2.7703047643781616e-13,4.837004857980732e-12,4.24067316774021e-12,3.898532027599036e-12,1.276012166482899e-12,1.0847425883685873e-12
7.0,1.1908555415326239e-11,6.4996241347452625e-12,8.512662793762957e-13,7.320830280353139e-12,1.0655305887385636e-11,1.142310757901882e-11,5.368796171138047e-12,3.776297082837969e-12,11.0,1.6798437473387712e-11,1.8577942120572612e-11,9.223540617501785e-13,5.276166250306297e-12,1.9305866849969216e-11,2.330430442214669e-11,1.3152408809869519e-11,7.206838185194861e-12,15.0,1.19073067819336e-12,2.9439159011879867e-13,7.23502791746846e-14,1.2149017176122001e-12,1.0445813707317533e-12,1.0717041193761272e-12,1.3163168419663772e-12,4.865674500158931e-13
8.0,4.0450924322648194e-12,3.72421111233511e-12,2.195263441038693e-13,2.558736785448089e-12,3.873985767109872e-12,4.678380112771501e-12,2.4050656564129054e-12,9.431501628543526e-13,12.0,1.3789274943654696e-11,8.212244118050509e-12,2.627820744670071e-13,6.265451680794624e-12,1.3379389115466584e-11,1.534911695431588e-11,1.2441683158755267e-11,6.141813409147526e-12,16.0,1.4654976991092019e-12,2.1414245011283708e-13,2.540409715635232e-13,1.2431397532658696e-12,1.2008234481184483e-12,1.3657648791318486e-12,1.305651305366844e-12,1.0819526864950133e-12
,,,,,,,,,,,,,,,,,,17.0,6.474016049760494e-13,5.066074730018816e-13,3.8570225976831717e-13,3.885428827277103e-13,6.386535659248171e-13,6.297998234126416e-13,2.049308491258392e-12,4.556880615667167e-13
,,,,,,,,,,,,,,,,,,18.0,3.3795250068405613e-12,2.087403965664761e-12,3.640932073565989e-13,2.7793546277521116e-12,3.378746095014385e-12,3.823005245523907e-12,2.279040277993581e-12,6.349002277185453e-13
,,,,,,,,,,,,,,,,,,19.0,2.7013951558741514e-12,2.640782859869783e-12,3.5577879582091627e-13,1.4867411185119039e-12,2.954654053800361e-12,3.641290287701729e-12,1.4812494454246068e-12,1.1065683723953551e-12
,,,,,,,,,,,,,,,,,,20.0,6.925169687558356e-13,1.1996280264159404e-12,8.131319025596542e-14,2.663232814143789e-13,1.0423437565223984e-12,1.134715376548078e-12,7.22118405198789e-13,9.007036450240002e-13
,,,,,,,,,,,,,,,,,,21.0,6.1371908898903865e-12,1.0189122231104713e-12,9.743162817055888e-13,2.9371863663126235e-12,4.413473559485652e-12,5.892175982120191e-12,4.914041390841526e-12,1.4937150229478006e-12
