freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,6.2152085821639735e-12,2.4648249390030368e-11,9.514002165299132e-13,4.703852402256427e-12,8.301140239759112e-12,8.155055485978637e-12,5.268909146501474e-12,7.738995318953234e-12,8.0,5.2734719736503765e-12,4.698311752216799e-12,1.0450451600673433e-12,5.146757535192141e-12,4.6403396304398234e-12,4.3716944619753006e-12,3.215466208055605e-12,4.1266972097049064e-12,12.0,1.4214629535557406e-11,8.20625083626709e-12,7.133578578794676e-13,1.1072431232199443e-11,1.3472210862480677e-11,1.3726874306167944e-11,9.70131745513857e-12,7.097501523514369e-12
5.0,6.569069932963773e-12,2.932582940753782e-11,9.603559091817022e-13,5.767915399097605e-12,9.220098709580582e-12,8.907295965530742e-12,4.336138606157653e-12,6.026702373173957e-12,9.0,6.3174486474923215e-12,6.581652419502144e-12,1.9160468255816726e-12,6.168370788242821e-12,6.864465841009175e-12,6.0671198052434555e-12,5.070114493210302e-12,4.851232263939619e-12,13.0,8.796199130044333e-12,7.058231181127672e-12,4.5240954825142024e-13,7.273999740526568e-12,8.696330197866384e-12,8.815373493393187e-12,7.673623108730585e-12,5.503114788836462e-12
6.0,5.357447083687844e-12,1.9319458987692608e-11,7.787080900237796e-13,5.305795960986013e-12,6.8421682157786046e-12,6.845370924321473e-12,2.804410938045951e-12,4.380373056674895e-12,10.0,4.751360353718475e-11,2.369238389261353e-11,1.5288584167072142e-12,3.445211734037715e-11,4.568099599388072e-11,4.5166898871008076e-11,2.636897312237778e-11,2.718710689017959e-11,14.0,5.127058442918764e-12,3.568513294317774e-12,7.371077270959127e-13,3.506284087933188e-12,4.764970836491724e-12,4.781499631601107e-12,5.730423377148341e-12,4.751956557670713e-12
7.0,5.02908244704694e-12,9.81044480699873e-12,7.001168418477712e-13,5.911446817717829e-12,4.7763312591634515e-12,4.378761594305633e-12,2.0083462764721964e-12,3.548350629199632e-12,11.0,6.48805510100467e-11,2.8609682082274e-11,1.825089064963152e-12,4.3415560367137e-11,6.160033475612624e-11,6.359786000851837e-11,3.656916366788268e-11,3.2964741472563565e-11,15.0,2.8475048566449887e-12,3.841127694841744e-12,8.680703728347256e-13,3.137148634993312e-12,3.0993759713851567e-12,2.9297357924698207e-12,2.915571472143881e-12,3.0598665119879986e-12
8.0,5.2734719736503765e-12,4.698311752216799e-12,1.0450451600673433e-12,5.146757535192141e-12,4.6403396304398234e-12,4.3716944619753006e-12,3.215466208055605e-12,4.1266972097049064e-12,12.0,1.4214629535557406e-11,8.20625083626709e-12,7.133578578794676e-13,1.1072431232199443e-11,1.3472210862480677e-11,1.3726874306167944e-11,9.70131745513857e-12,7.097501523514369e-12,16.0,4.1738014353576865e-12,3.052430541981737e-12,1.8345325920413663e-12,4.369532501618654e-12,3.8420795259840726e-12,3.937847279597005e-12,3.635538569260111e-12,3.1197694609106866e-12
,,,,,,,,,,,,,,,,,,17.0,2.569900262623164e-12,2.0680580465134612e-12,1.3086601737084283e-12,2.423332616780768e-12,2.3018340889488356e-12,2.423371936061049e-12,2.2462568247614613e-12,2.099704786122648e-12
,,,,,,,,,,,,,,,,,,18.0,2.149873525581732e-12,2.1247431458236365e-12,6.282697032720231e-13,1.6734474956585588e-12,1.461477611624587e-12,1.7746126199155388e-12,2.29334374457403e-12,2.5251597886494175e-12
,,,,,,,,,,,,,,,,,,19.0,1.8299541360311997e-12,2.1013598601184082e-12,8.021073401176705e-13,1.5301090110652785e-12,1.4049183872588788e-12,1.6738464524939327e-12,2.1014597438713377e-12,2.746574694213465e-12
,,,,,,,,,,,,,,,,,,20.0,2.3239590869800172e-12,2.190690224608506e-12,8.027607379511878e-13,2.768854084702308e-12,2.2760594340229136e-12,2.222874979359004e-12,2.4612445619627772e-12,2.203673957329182e-12
,,,,,,,,,,,,,,,,,,21.0,5.616114736231558e-12,4.5805096261787e-12,3.0080515447796066e-12,6.029398216771619e-12,5.666574514736337e-12,5.598328882775386e-12,4.995867866720863e-12,5.783527662139986e-12
,,,,,,,,,,,,,,,,,,22.0,2.8679914247153907e-12,2.209042263633816e-12,1.568848608775754e-12,2.908124339622568e-12,2.613359964166614e-12,2.576624500416984e-12,2.257034956139693e-12,3.7910031592829614e-12
,,,,,,,,,,,,,,,,,,23.0,6.914117524114726e-12,3.2820739698420784e-12,2.302092732672906e-12,6.0875883552208916e-12,6.036679087303372e-12,5.842260588118115e-12,6.0572790935773255e-12,6.4048134801316904e-12
,,,,,,,,,,,,,,,,,,24.0,2.8078026763235513e-12,2.0630452429773605e-12,1.2118250989690265e-12,3.219568622562266e-12,2.6473315254832103e-12,2.5123099613895203e-12,2.1069983863581806e-12,3.7060550388999204e-12
,,,,,,,,,,,,,,,,,,25.0,1.8397649457434904e-12,2.3728953004243467e-12,7.355462841351707e-13,2.652371362613262e-12,1.9305035278441054e-12,1.956958273370633e-12,1.3092640160489806e-12,1.8727171952107674e-12
,,,,,,,,,,,,,,,,,,26.0,2.345992620183567e-12,2.863834385786674e-12,1.1802234364067243e-12,2.2407441144784068e-12,2.4310538618307637e-12,2.590648109435343e-12,2.635241666777463e-12,2.265668797092102e-12
,,,,,,,,,,,,,,,,,,27.0,3.641309546296883e-12,2.9765796312427357e-12,2.326097766822592e-12,3.4040500162033787e-12,3.65198228698917e-12,3.871013745872945e-12,3.96791807820151e-12,3.63922367110371e-12
,,,,,,,,,,,,,,,,,,28.0,3.706695419586063e-12,2.2883382031145342e-12,1.772310720681297e-12,3.3949293790954023e-12,3.66076462033841e-12,3.491262978894073e-12,2.9675070771920295e-12,4.4446187882173795e-12
,,,,,,,,,,,,,,,,,,29.0,7.157633379035909e-12,4.31859260003742e-12,3.21699163016799e-12,6.745827510343579e-12,7.2251119595217774e-12,7.092727912123782e-12,4.969521979347543e-12,7.597857312942131e-12
,,,,,,,,,,,,,,,,,,30.0,2.4952206102052365e-12,1.7082964186846948e-12,1.1795211164452517e-12,2.484139527881902e-12,2.6259814093138365e-12,2.3362369178707843e-12,1.6221532949911051e-12,4.486570568212847e-12
