freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.9004052423002955e-12,4.090932109951067e-12,1.2886551908903166e-12,2.6044441003253345e-12,3.939734467194077e-12,3.836557979997299e-12,1.9569324403339798e-12,2.068144304482609e-12,8.0,3.541606630820896e-12,3.6856587366896166e-12,1.3078946220732329e-12,2.658831732929913e-12,3.6645655589194836e-12,3.5915558444748517e-12,1.730431854795704e-12,1.8661462383065568e-12,12.0,3.3619481318690217e-12,3.6479090991174934e-12,1.304387606042903e-12,2.705820192329862e-12,3.5483875491876377e-12,3.376276046570469e-12,1.6234823836442422e-12,1.7232597900238671e-12
5.0,3.6216724350375545e-12,3.686479634543299e-12,1.2232313578520869e-12,2.3101834149264016e-12,3.68575740752322e-12,3.612588841342378e-12,1.735884784918985e-12,1.7658249255724866e-12,9.0,3.778596041179886e-12,7.70645006354246e-12,1.9369076674409892e-12,4.178582493021318e-12,3.92486481129877e-12,3.956828583383832e-12,2.2654464228420927e-12,2.675948122992565e-12,13.0,3.3761323967287655e-12,2.427395172345446e-12,9.541461041393407e-13,1.956792521287216e-12,3.448892842720941e-12,3.400994404199315e-12,1.5825593685505203e-12,1.5717274113143486e-12
6.0,3.626610490422831e-12,3.4903315192671018e-12,1.12554194576156e-12,2.140425198411832e-12,3.6867114500909654e-12,3.652779691811532e-12,1.7466788615281522e-12,1.7788686961102798e-12,10.0,4.082971834940415e-12,1.610797506968806e-11,2.761244850307872e-12,5.6810405669929245e-12,4.460621898074461e-12,4.609136851876186e-12,2.987892299758752e-12,3.831515645525102e-12,14.0,3.4005697803592844e-12,2.054361875088011e-12,8.464132751947765e-13,1.848533943902046e-12,3.4519392805279647e-12,3.3828191531280593e-12,1.5840386076086557e-12,1.5523843711596878e-12
7.0,3.639472349796082e-12,3.2760832175981768e-12,1.1327880937807012e-12,2.2332362838709815e-12,3.712166911359261e-12,3.664445617858629e-12,1.736212295824828e-12,1.7631881180853872e-12,11.0,3.625059753757969e-12,8.772304662952855e-12,2.14879444088879e-12,4.1514507121721045e-12,3.92526457562719e-12,3.801991254013927e-12,2.2143574370583813e-12,2.5313766094214504e-12,15.0,3.5937236942445515e-12,1.9773740942170584e-12,8.593745108505716e-13,1.8744636010731543e-12,3.617284383170801e-12,3.5625893202776203e-12,1.660188382371459e-12,1.6275361296282092e-12
8.0,3.541606630820896e-12,3.6856587366896166e-12,1.3078946220732329e-12,2.658831732929913e-12,3.6645655589194836e-12,3.5915558444748517e-12,1.730431854795704e-12,1.8661462383065568e-12,12.0,3.3619481318690217e-12,3.6479090991174934e-12,1.304387606042903e-12,2.705820192329862e-12,3.5483875491876377e-12,3.376276046570469e-12,1.6234823836442422e-12,1.7232597900238671e-12,16.0,3.487229786442894e-12,2.0097818903348068e-12,8.988167583826825e-13,1.8106621546110278e-12,3.514755403780456e-12,3.492832411748456e-12,1.5894876898709008e-12,1.5624077781175051e-12
,,,,,,,,,,,,,,,,,,17.0,3.709811206434194e-12,2.1117712056846306e-12,1.0119689083364146e-12,1.8760162786443815e-12,3.712238730277079e-12,3.732671287921457e-12,1.6825578906051424e-12,1.6771181776736408e-12
,,,,,,,,,,,,,,,,,,18.0,3.979978379143742e-12,2.310962596788931e-12,1.0219141251857937e-12,2.0631042993626206e-12,4.015183995218772e-12,3.98122290353184e-12,1.8194923577701337e-12,1.851446963744907e-12
,,,,,,,,,,,,,,,,,,19.0,4.410695194615206e-12,2.4733609185925653e-12,1.0479564361093063e-12,2.150159935078959e-12,4.416769972041727e-12,4.410580859203665e-12,2.106473569418752e-12,2.0300340230881197e-12
,,,,,,,,,,,,,,,,,,20.0,4.640658005269802e-12,2.5768842026176763e-12,1.155173299644317e-12,2.274835687971165e-12,4.6795209719052346e-12,4.7117731256450684e-12,2.1104303430369472e-12,2.0380782945013564e-12
,,,,,,,,,,,,,,,,,,21.0,4.798232384765578e-12,2.4361949939728943e-12,1.0913551788156436e-12,2.3169264151355055e-12,4.808025074805951e-12,4.812329100252938e-12,2.1346355060540417e-12,2.0751176226051526e-12
,,,,,,,,,,,,,,,,,,22.0,4.775277795093973e-12,2.2793707213613567e-12,9.855741030448009e-13,2.2821289861903618e-12,4.7839655880304834e-12,4.728216504500675e-12,2.0137492968502998e-12,2.1051554023037893e-12
,,,,,,,,,,,,,,,,,,23.0,4.588738944493359e-12,2.1756668195379882e-12,9.638351494722344e-13,2.1703426905977055e-12,4.604474704237412e-12,4.594694653222836e-12,1.9168847913326454e-12,1.9319446590262278e-12
,,,,,,,,,,,,,,,,,,24.0,4.322454720934354e-12,2.0286282328569316e-12,8.920368930460473e-13,2.0189347778196593e-12,4.3558585866381165e-12,4.338447412629346e-12,1.8068226712683192e-12,1.8044069764585626e-12
,,,,,,,,,,,,,,,,,,25.0,4.114992249057858e-12,1.8494364296549377e-12,8.100714163130787e-13,1.9092442140163554e-12,4.151999394193267e-12,4.113501698344479e-12,1.7166285713658098e-12,1.7376743073065335e-12
,,,,,,,,,,,,,,,,,,26.0,4.027800333304119e-12,1.7604898295655297e-12,8.030445490109207e-13,1.8146552953891442e-12,4.056713533698755e-12,4.044162929212256e-12,1.7201031994949838e-12,1.7040100282804383e-12
,,,,,,,,,,,,,,,,,,27.0,4.056221811682721e-12,1.761461734940066e-12,7.838031533471454e-13,1.850437559443731e-12,4.097698978064546e-12,4.059071581524709e-12,1.7168372916539841e-12,1.7275799601834003e-12
,,,,,,,,,,,,,,,,,,28.0,3.9356522454591005e-12,1.7037943810465243e-12,7.748806354971228e-13,1.7896835823800123e-12,3.959216332800253e-12,3.9371821488645605e-12,1.645340441998399e-12,1.6516983647776658e-12
,,,,,,,,,,,,,,,,,,29.0,3.818244713543247e-12,1.664590627334467e-12,7.529357029603475e-13,1.7333908791509065e-12,3.83316612978495e-12,3.819519860196555e-12,1.5913777010860662e-12,1.5857329860757457e-12
,,,,,,,,,,,,,,,,,,30.0,3.5180036683851197e-12,1.5289925248318454e-12,6.985799662691953e-13,1.5892764550200144e-12,3.5446457476246853e-12,3.5332178108173718e-12,1.4816794094986752e-12,1.4720213268743917e-12
