freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,2.4605114478143085e-12,2.1274342280618752e-12,7.306173350737355e-13,7.660793398943397e-13,7.410590471515026e-13,8.81141219869488e-13,1.4978438209387043e-12,1.8213431775945245e-12,8.0,1.2452809741130918e-12,1.048139958350016e-12,3.7314698834775063e-13,3.9829130714553763e-13,3.308217169571412e-13,4.3651599132799815e-13,6.634052879109806e-13,6.180043172959636e-13,12.0,4.302321239866334e-13,3.7346268683562053e-13,2.2292320229402922e-13,2.3369841493402964e-13,2.1152618743778066e-13,2.7035523098854337e-13,2.9313061491841286e-13,3.11798927394641e-13
5.0,1.9175044093518697e-12,1.6630761495003654e-12,6.017693012502031e-13,5.415230814838102e-13,5.42322785490341e-13,7.027923501353077e-13,1.1200493524284996e-12,1.2082343221602274e-12,9.0,1.0312770754664482e-12,8.880903890481552e-13,3.542659640599792e-13,4.4539789860058085e-13,3.3268352649792667e-13,4.4038529794470025e-13,5.574861800954749e-13,5.112191226286345e-13,13.0,3.951669077007701e-13,3.5485849460955754e-13,1.8941294225832987e-13,1.8600596334176669e-13,1.738207186572669e-13,2.2265599710778144e-13,2.9750780160779905e-13,3.1162230691125755e-13
6.0,1.6056867041195128e-12,1.4351939348485769e-12,4.64680853652163e-13,4.2352354293636863e-13,4.388546651518975e-13,5.52463994743971e-13,9.644285123676134e-13,8.880651587686369e-13,10.0,6.783235860414976e-13,6.208799601319788e-13,3.236138399705347e-13,4.1405753789237426e-13,2.916487350934938e-13,4.2043779436617384e-13,3.735515081459252e-13,4.0664493094799036e-13,14.0,3.377752571825789e-13,2.933857660892827e-13,1.6850725024180261e-13,1.573783144082328e-13,1.4357450857715476e-13,1.909614613162545e-13,2.84582648136466e-13,2.9579192779133657e-13
7.0,1.3034962943301645e-12,1.1427689765906663e-12,3.8310355059599386e-13,3.808058608292015e-13,3.3244580389359883e-13,4.558745305284571e-13,7.662435581318555e-13,7.523771575084953e-13,11.0,5.439041593633803e-13,4.822097179060645e-13,2.6369060908030096e-13,3.465825431771759e-13,2.513324769001029e-13,3.70088895096806e-13,2.940730028860262e-13,3.430874004235837e-13,15.0,3.1183361000847814e-13,2.755539255353375e-13,1.5061784401626907e-13,1.2352578685744704e-13,1.3138113650321333e-13,1.620144230331798e-13,2.7208932764889694e-13,2.7659745247138585e-13
8.0,1.2452809741130918e-12,1.048139958350016e-12,3.7314698834775063e-13,3.9829130714553763e-13,3.308217169571412e-13,4.3651599132799815e-13,6.634052879109806e-13,6.180043172959636e-13,12.0,4.302321239866334e-13,3.7346268683562053e-13,2.2292320229402922e-13,2.3369841493402964e-13,2.1152618743778066e-13,2.7035523098854337e-13,2.9313061491841286e-13,3.11798927394641e-13,16.0,2.666980821407745e-13,2.4330577747946004e-13,1.343909071560427e-13,1.0253705264456465e-13,1.1666053963976512e-13,1.4329207332084244e-13,2.517838589537904e-13,2.487673653750067e-13
,,,,,,,,,,,,,,,,,,17.0,2.2457228254577909e-13,2.1956465477330044e-13,1.453743134930462e-13,9.630574046030327e-14,1.217260506436367e-13,1.3503096896662265e-13,2.6037418293357944e-13,2.3033734871403575e-13
,,,,,,,,,,,,,,,,,,18.0,2.2135332182017602e-13,1.9404689566262953e-13,1.543619002319163e-13,8.904341940608023e-14,1.2663102389239077e-13,1.292773485024392e-13,2.6819171355449273e-13,2.3674584978021265e-13
,,,,,,,,,,,,,,,,,,19.0,2.0375757080320023e-13,1.805306189446082e-13,1.4880578888455577e-13,7.403193702995935e-14,1.1945774794453945e-13,1.1034253838344734e-13,2.6379002460101354e-13,2.329521468328243e-13
,,,,,,,,,,,,,,,,,,20.0,1.871777882522058e-13,1.747984361372304e-13,1.617785467275497e-13,7.003919731034407e-14,1.2872070472353252e-13,9.392535659120581e-14,2.7137274631423976e-13,2.425891229407309e-13
,,,,,,,,,,,,,,,,,,21.0,1.7585550837283212e-13,1.515742687949951e-13,1.5705875228055593e-13,6.598522568127108e-14,1.2220170469076692e-13,9.791421604343561e-14,2.5450889051502265e-13,2.337238490355773e-13
,,,,,,,,,,,,,,,,,,22.0,1.7612927577264613e-13,1.4518043047213548e-13,1.5539067579664954e-13,6.103664864351766e-14,1.15654792813854e-13,8.530988118470404e-14,2.469220184413645e-13,2.2646174791380592e-13
,,,,,,,,,,,,,,,,,,23.0,1.5589992274035214e-13,1.316091040144701e-13,1.5083872990888816e-13,5.0882733289297483e-14,1.1071251789495727e-13,7.53848211153783e-14,2.773018468671979e-13,2.548642166673266e-13
,,,,,,,,,,,,,,,,,,24.0,1.3986658946651693e-13,1.214122864376021e-13,1.6212290087128592e-13,4.6418678110540034e-14,1.1761988585501569e-13,7.067570527283876e-14,2.893892947191709e-13,2.570740419747962e-13
,,,,,,,,,,,,,,,,,,25.0,1.4159354213893606e-13,1.2473033957412056e-13,1.569212836489065e-13,4.1071787932076825e-14,1.1016857744513944e-13,6.771466163678594e-14,2.7554619626644594e-13,2.424107446939274e-13
,,,,,,,,,,,,,,,,,,26.0,1.3914873565358075e-13,1.319603250626163e-13,1.5468427504880247e-13,3.732074919324064e-14,1.1083057337304736e-13,6.69474694960937e-14,2.867988021345521e-13,2.7478539802840956e-13
,,,,,,,,,,,,,,,,,,27.0,1.2791494892437113e-13,1.233659155765018e-13,2.0282648775202205e-13,3.639601139191148e-14,1.4183925883112946e-13,6.07991019859891e-14,3.4282714075092364e-13,3.0165226734534966e-13
,,,,,,,,,,,,,,,,,,28.0,1.3661126092737558e-13,1.285279894195724e-13,2.2846804817406703e-13,3.3473383587540565e-14,1.54753966419841e-13,6.731214919555558e-14,4.102829854142346e-13,3.999625600783883e-13
,,,,,,,,,,,,,,,,,,29.0,1.3106953321205926e-13,1.211872921833883e-13,2.6336458376081327e-13,3.5126586086363874e-14,1.763987230040184e-13,7.202498746768551e-14,4.4275829611389544e-13,3.751363705869529e-13
,,,,,,,,,,,,,,,,,,30.0,1.1958850879048277e-13,1.1263284079533687e-13,2.332040989406144e-13,3.202509529645138e-14,1.5692070712597784e-13,6.368396987835543e-14,3.960197274637282e-13,3.3101970610784774e-13
