freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,3.404759383806191e-12,3.1679256502174666e-12,9.018069378172995e-13,8.927357384033109e-13,1.124046334470281e-12,1.2064426838134644e-12,2.188727171940735e-12,2.239602863243033e-12,8.0,1.5404990237357271e-12,1.6522801891844087e-12,6.119200720812322e-13,6.183802660689767e-13,5.782762983461303e-13,8.026678285737625e-13,8.700707486033114e-13,8.735954005559585e-13,12.0,5.830686804209972e-13,5.389962681808462e-13,3.2079253853790714e-13,3.447789865486298e-13,3.132553119645471e-13,4.1635516852345863e-13,5.328755935866023e-13,4.2440206601906166e-13
5.0,2.3422669386174727e-12,2.4731001157656643e-12,6.98610705992415e-13,7.123248237151209e-13,8.177935312819005e-13,9.378202130601968e-13,1.4881823140306286e-12,1.5853716847076288e-12,9.0,2.368149992919921e-12,1.9331777470295883e-12,8.973819652305661e-13,1.585744490729479e-12,9.320274866929031e-13,1.4542391476814541e-12,9.896707256956952e-13,9.499247181468948e-13,13.0,4.910906882715356e-13,4.80048646087398e-13,2.435914937509434e-13,2.4383893775205e-13,2.427655908965716e-13,3.195607976506619e-13,4.748140302146293e-13,4.240293336191361e-13
6.0,1.7815904760699866e-12,1.8211503032269406e-12,5.154525577737689e-13,4.922818544722784e-13,5.586724478138194e-13,7.492918455015591e-13,1.1160653012443e-12,1.1375402250458721e-12,10.0,2.8980579014545505e-12,2.2961391376066856e-12,8.52033383591767e-13,2.491492668954583e-12,9.30722499961921e-13,2.068149597103865e-12,1.1117853028771127e-12,1.0855714936481962e-12,14.0,4.0618514208398366e-13,4.05679110770392e-13,2.3186051755205176e-13,2.0796548569940178e-13,2.2297035768512165e-13,2.7302202126426085e-13,4.576707663449383e-13,3.9247454833650863e-13
7.0,1.561825743639017e-12,1.6296226948423946e-12,5.245783002818999e-13,4.834781218926137e-13,4.96366051400238e-13,6.556983467539493e-13,9.116747253028456e-13,8.669455997977471e-13,11.0,1.0606944908378347e-12,8.892890210789592e-13,4.875199267116821e-13,8.792636939133009e-13,5.039524686706902e-13,8.154237709864583e-13,5.736725870593555e-13,5.841456177199239e-13,15.0,3.40218155662982e-13,3.3300912045617205e-13,2.2874511114322343e-13,1.9324132580447548e-13,2.076627280991573e-13,2.6946839956452863e-13,3.739663097929893e-13,3.296703402913301e-13
8.0,1.5404990237357271e-12,1.6522801891844087e-12,6.119200720812322e-13,6.183802660689767e-13,5.782762983461303e-13,8.026678285737625e-13,8.700707486033114e-13,8.735954005559585e-13,12.0,5.830686804209972e-13,5.389962681808462e-13,3.2079253853790714e-13,3.447789865486298e-13,3.132553119645471e-13,4.1635516852345863e-13,5.328755935866023e-13,4.2440206601906166e-13,16.0,4.325208352955509e-13,4.017976748270402e-13,2.675687658219009e-13,2.277364401189927e-13,2.2675354242656102e-13,3.862023781497605e-13,3.398877633554748e-13,3.4722992148072346e-13
,,,,,,,,,,,,,,,,,,17.0,4.897799342606315e-13,4.888701939305184e-13,2.96212435375139e-13,2.2326725765730564e-13,2.603775422237343e-13,3.9642743501933143e-13,3.6176982826951486e-13,3.648701189723484e-13
,,,,,,,,,,,,,,,,,,18.0,3.7428781041727273e-13,3.391190219196242e-13,2.392859638819331e-13,1.7062592922849768e-13,2.0468136810302465e-13,2.7595680417036257e-13,2.900117943609246e-13,3.3985268530273783e-13
,,,,,,,,,,,,,,,,,,19.0,3.3174254803906427e-13,3.057559717722944e-13,2.2702252176701077e-13,1.4091241453796586e-13,1.9369524002120074e-13,2.157851600413744e-13,2.949847320774404e-13,3.142498425897993e-13
,,,,,,,,,,,,,,,,,,20.0,3.043721721372015e-13,2.535421519825929e-13,1.7869457703565404e-13,1.2418270151664583e-13,1.4303249033776771e-13,1.856245749083301e-13,3.169711773924779e-13,2.9163201033521123e-13
,,,,,,,,,,,,,,,,,,21.0,2.793072177195472e-13,2.1941795556100615e-13,1.8855123762529e-13,8.999161881962036e-14,1.4839202858751674e-13,1.3599912780148696e-13,3.324934519609874e-13,2.8255219631024435e-13
