freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,1.9265069556130415e-12,2.0850301525397738e-12,7.240663365320724e-13,7.33659132582076e-13,8.895108083966706e-13,1.1452352563836668e-12,1.214615815857371e-12,1.081747658098813e-12,8.0,7.242841281072739e-12,6.667315518458298e-12,1.7567112308297967e-12,2.5405132947693484e-12,1.5994795584150991e-12,5.578650157974246e-12,1.7194854609700464e-12,2.0152455833798083e-12,12.0,4.951804731200428e-13,3.8929613630067824e-13,2.2016068712978312e-13,2.9470521127090617e-13,2.314908443813836e-13,3.500799414906606e-13,2.0819815172076522e-13,2.0449428133314775e-13
5.0,1.72173349442795e-12,1.8020025134639908e-12,6.28228111904111e-13,5.862625335369389e-13,6.896337285642837e-13,9.531269978100818e-13,9.81730597004782e-13,8.62017370022283e-13,9.0,8.99784862373067e-12,7.643483274681754e-12,1.8077482426892972e-12,5.471497360084579e-12,2.04062298752999e-12,5.667780619988896e-12,3.4159492861416303e-12,3.394521644792634e-12,13.0,4.5396131552430704e-13,3.6995000906797035e-13,1.8888160042825576e-13,2.3615632724812557e-13,1.9983296088779112e-13,2.8951999054397695e-13,2.0203581806640757e-13,1.908669810248039e-13
6.0,2.057013148750856e-12,2.0715197210157326e-12,6.096198875019574e-13,6.086952578121987e-13,6.211007636114696e-13,1.1284276610394094e-12,9.561451052266386e-13,9.570358968325356e-13,10.0,2.639908949196032e-12,2.329621986192508e-12,9.661850173693137e-13,3.201973076707286e-12,1.2398618433438167e-12,2.1747891785192316e-12,1.7146826896120634e-12,1.5562960051513576e-12,14.0,3.747711217358983e-13,2.851782047745029e-13,1.7394662662157427e-13,2.119765955333196e-13,1.7612119785095361e-13,2.8113407805507584e-13,1.8163354794933216e-13,1.618943124450815e-13
7.0,3.240110385727877e-12,3.0450157528097902e-12,9.610456522709011e-13,1.0392436495822484e-12,8.97310836586155e-13,2.4207928419220016e-12,1.0197935066155325e-12,1.117956049171774e-12,11.0,7.282604716280374e-13,6.144343748768361e-13,3.4291719989428604e-13,6.983655549062498e-13,3.7747550113809773e-13,5.999351024733348e-13,3.957925021315933e-13,3.4918041898147413e-13,15.0,3.0082028857576196e-13,2.637173590583726e-13,1.633988205691328e-13,1.8447842534503374e-13,1.6234600022745977e-13,2.719629729842526e-13,1.6787020867853835e-13,1.346204133611099e-13
8.0,7.242841281072739e-12,6.667315518458298e-12,1.7567112308297967e-12,2.5405132947693484e-12,1.5994795584150991e-12,5.578650157974246e-12,1.7194854609700464e-12,2.0152455833798083e-12,12.0,4.951804731200428e-13,3.8929613630067824e-13,2.2016068712978312e-13,2.9470521127090617e-13,2.314908443813836e-13,3.500799414906606e-13,2.0819815172076522e-13,2.0449428133314775e-13,16.0,2.975113608153219e-13,2.832417217800435e-13,1.463748635001199e-13,1.5724676812569729e-13,1.4938260288090796e-13,2.5627513395550686e-13,1.6650964680643121e-13,1.2024869804349707e-13
,,,,,,,,,,,,,,,,,,17.0,3.120679452286436e-13,3.0084661451475044e-13,1.5292271870677494e-13,1.4989115070285155e-13,1.5223763696128509e-13,2.380233805832562e-13,1.6835391799599922e-13,1.340630012650683e-13
,,,,,,,,,,,,,,,,,,18.0,3.2810930398839365e-13,3.1710607972397774e-13,1.5073922650517092e-13,1.468734826508111e-13,1.4464486623578724e-13,2.0364330901782662e-13,1.8055000155274145e-13,1.4207267116198152e-13
,,,,,,,,,,,,,,,,,,19.0,2.381417896277689e-13,2.2295823563057437e-13,1.2331591724521265e-13,1.338001352135653e-13,1.214282523902183e-13,1.6172174228873434e-13,1.3467569748466172e-13,9.863310248546226e-14
,,,,,,,,,,,,,,,,,,20.0,1.691328863889615e-13,1.6623910557163228e-13,9.918941140469366e-14,9.919825812803462e-14,9.999771654626797e-14,1.2111186045102669e-13,1.0528748526478751e-13,7.841901327126182e-14
,,,,,,,,,,,,,,,,,,21.0,1.3383543839359506e-13,1.2616885862486018e-13,7.326037301642476e-14,7.673467573041234e-14,7.861657714193601e-14,9.566810234070594e-14,9.603269376861166e-14,6.85748867669256e-14
,,,,,,,,,,,,,,,,,,22.0,1.1490310043021583e-13,1.0045942081519071e-13,5.74761503239363e-14,5.66894754238463e-14,5.898821046983931e-14,7.596892048692251e-14,8.521462846451784e-14,5.842924964176855e-14
,,,,,,,,,,,,,,,,,,23.0,1.0657128766545753e-13,9.418385804201667e-14,4.8420342100091674e-14,4.47388409158699e-14,5.015142763222816e-14,6.281411830215165e-14,8.032369846636901e-14,4.9770419623381855e-14
,,,,,,,,,,,,,,,,,,24.0,9.524667991208744e-14,9.239069001955623e-14,4.074943227167041e-14,4.485525532305406e-14,4.283494895324293e-14,5.557336807082613e-14,8.0628603076914e-14,4.4569889657344603e-14
,,,,,,,,,,,,,,,,,,25.0,8.125369930274972e-14,8.348323854193537e-14,3.535553690755625e-14,3.718252594630591e-14,3.750192982705512e-14,4.834111243318307e-14,7.485134853949667e-14,3.856867724328223e-14
,,,,,,,,,,,,,,,,,,26.0,8.12622075877166e-14,8.132021431744845e-14,3.2808856446401214e-14,3.345523605015444e-14,3.3055102176230445e-14,4.319214824050466e-14,6.858647165047117e-14,3.608299120674473e-14
,,,,,,,,,,,,,,,,,,27.0,8.170796497440466e-14,7.512457827632511e-14,2.829114814302282e-14,2.9783143321727904e-14,3.0697451599768046e-14,3.9641689234068524e-14,5.989473322247618e-14,3.449096087400845e-14
,,,,,,,,,,,,,,,,,,28.0,6.310740485653711e-14,5.53164304152151e-14,2.5104768656574086e-14,2.5518429402091163e-14,2.5929265861862355e-14,3.5198471256331057e-14,4.993980128464338e-14,2.7086861795333378e-14
,,,,,,,,,,,,,,,,,,29.0,5.0626380847376824e-14,4.8964498381524504e-14,2.2165416210516573e-14,2.280822151276309e-14,2.297819434465603e-14,3.138383667567472e-14,4.40815107750939e-14,2.3354832534435565e-14
,,,,,,,,,,,,,,,,,,30.0,4.257405362398126e-14,4.181227043522759e-14,1.7329898429524277e-14,1.969304643773154e-14,1.7903085792373174e-14,2.6046252162156556e-14,4.003616567121144e-14,2.149873251883579e-14
