freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.4097310836477733e-12,2.059088925785769e-12,9.038543453230327e-13,7.899279227321226e-13,1.1086723132197494e-12,1.015080740325258e-12,1.269335640355208e-12,1.3015182140414588e-12,8.0,1.0285388472845077e-12,9.375335803002058e-13,3.541194354900411e-13,3.1634136690338317e-13,3.7177721908170656e-13,4.567741769271434e-13,4.4438301776011714e-13,4.005821110507767e-13,12.0,3.8979518944761767e-13,3.887795621145624e-13,2.334609360915888e-13,2.2800523880754443e-13,2.574643094941159e-13,2.7140534106674397e-13,2.2494537462199168e-13,2.878094352191854e-13
5.0,2.1447175831064124e-12,1.7237268325217399e-12,6.892749607030342e-13,6.274087696877516e-13,8.081663845533326e-13,8.467095890941561e-13,9.560590315569516e-13,9.380871728227886e-13,9.0,8.459767596190948e-13,8.118410799504254e-13,2.9944079065067237e-13,3.234422377588507e-13,3.4413523699149825e-13,4.18817739058046e-13,3.6783897740987615e-13,3.463942280045029e-13,13.0,3.877368885122367e-13,4.1052466562747894e-13,2.0389934242418023e-13,1.6307396514982916e-13,2.438120198124773e-13,2.0048753874237934e-13,2.5476659925351306e-13,2.768945409715685e-13
6.0,1.5306565637087719e-12,1.3625085614369731e-12,4.709131691478459e-13,4.3663717489819764e-13,6.460128684961756e-13,5.392376190342371e-13,6.472864576983496e-13,6.753758546370794e-13,10.0,6.806887534867216e-13,6.344913137118961e-13,2.944901539912276e-13,3.0595399544296013e-13,3.399862224639311e-13,3.8157421578118307e-13,2.7242258204886507e-13,2.823101972687458e-13,14.0,3.5717469315198827e-13,3.4504367885356837e-13,1.6629824491098715e-13,1.320401176133623e-13,2.322060781453406e-13,1.8637238433127805e-13,2.5513385020195934e-13,2.426537384993777e-13
7.0,1.3603694004275197e-12,1.2426225459944628e-12,3.539266498373578e-13,3.840065504160133e-13,5.03316649296379e-13,4.835418880943123e-13,5.672798193951796e-13,5.855358602101258e-13,11.0,5.301855962545149e-13,4.4166802568466957e-13,2.634175833862609e-13,2.595912168553162e-13,2.855863455968955e-13,3.2469486970994884e-13,2.191577549811105e-13,2.542226585059963e-13,15.0,2.8476794739137147e-13,2.871340897555973e-13,1.675182106066147e-13,1.5609414382230806e-13,2.3016309413104346e-13,2.022006198924307e-13,2.3852046241826143e-13,1.9907224817718717e-13
8.0,1.0285388472845077e-12,9.375335803002058e-13,3.541194354900411e-13,3.1634136690338317e-13,3.7177721908170656e-13,4.567741769271434e-13,4.4438301776011714e-13,4.005821110507767e-13,12.0,3.8979518944761767e-13,3.887795621145624e-13,2.334609360915888e-13,2.2800523880754443e-13,2.574643094941159e-13,2.7140534106674397e-13,2.2494537462199168e-13,2.878094352191854e-13,16.0,2.0279458286132275e-13,2.3522434802712433e-13,1.4724547913493587e-13,1.3015318994871745e-13,2.093532959573044e-13,1.6890629039637931e-13,2.160939556724235e-13,1.9010189569306758e-13
,,,,,,,,,,,,,,,,,,17.0,2.4995216982797896e-13,2.397425272613115e-13,1.344947429849292e-13,1.129371230290088e-13,2.2014730152344167e-13,1.4385630601061476e-13,2.0123419137878912e-13,1.5921424593324385e-13
,,,,,,,,,,,,,,,,,,18.0,2.592798292926173e-13,2.867823011364066e-13,1.2084706738474379e-13,1.0864016174786462e-13,1.9415754003441207e-13,1.575314946192642e-13,2.074795165650968e-13,1.9704459924401045e-13
,,,,,,,,,,,,,,,,,,19.0,2.3750426008053325e-13,2.6498481503606457e-13,1.1667062390100925e-13,1.0808913704681341e-13,2.2138292542701645e-13,1.2975252884912945e-13,2.190472007694286e-13,1.9453021936819135e-13
,,,,,,,,,,,,,,,,,,20.0,1.8195161772437818e-13,2.017398554523349e-13,1.1312154016214227e-13,8.035795445884275e-14,2.3238625389575496e-13,8.954577107674023e-14,2.1102419875023273e-13,1.6810440834431375e-13
,,,,,,,,,,,,,,,,,,21.0,1.5066209110199532e-13,1.5477307391701816e-13,6.869192181264502e-14,7.031949532756459e-14,1.5494954337992341e-13,9.523474321261532e-14,1.9700937038917524e-13,1.4713650441045997e-13
