freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.368212889618923e-12,3.213479329466249e-12,2.5699882621215772e-12,1.6842707661313163e-12,1.7278292119149808e-12,1.8340960480172806e-12,1.9325406743912017e-12,1.6879031960000403e-12,8.0,1.3725192100792614e-12,1.209782487484744e-12,7.622239004443332e-13,6.481626966094618e-13,6.424075480191517e-13,6.613261997673651e-13,6.259089825088893e-13,6.771443976699424e-13,12.0,5.695339340941175e-13,5.497100283012093e-13,4.635994977338825e-13,4.234779964665797e-13,4.583995965962765e-13,4.716266142567821e-13,4.1100619654221733e-13,4.0482391126807086e-13
5.0,2.447239938863278e-12,2.516902131597989e-12,1.7122758283118252e-12,8.456021253545849e-13,1.1296407016128788e-12,1.1095074886477102e-12,1.3250288333704813e-12,1.246913187504868e-12,9.0,1.1005336792433005e-12,1.101182485276739e-12,7.425363125551347e-13,7.631195061886461e-13,6.470655068028946e-13,7.7349168414646e-13,5.531264312392732e-13,5.427683098685523e-13,13.0,4.443489033498394e-13,5.052479769842299e-13,4.141740600192875e-13,2.9704470160448644e-13,4.2398567797597135e-13,3.60996803688189e-13,4.213427619937851e-13,4.951569926246359e-13
6.0,1.826688922417654e-12,1.8988457280118192e-12,1.11559774668285e-12,5.729083566103949e-13,9.038988298237789e-13,7.13620387570989e-13,1.0324907396214751e-12,9.595538487060055e-13,10.0,8.331717026383352e-13,8.2654588294374e-13,7.733168941338169e-13,8.829166860364237e-13,5.456548480542608e-13,7.971002500824911e-13,5.081811282096327e-13,4.92169492471205e-13,14.0,3.8492770700070654e-13,3.844258014046072e-13,4.016377396797065e-13,3.0549226286664673e-13,3.615438551688269e-13,3.8611630763066255e-13,3.3346757775135307e-13,4.2493597541758066e-13
7.0,1.6177785216224842e-12,1.3692999157742975e-12,7.881736606478669e-13,5.675804531509459e-13,7.032148162395832e-13,7.718542885670426e-13,7.766071100494418e-13,7.800766657424666e-13,11.0,6.298421903687606e-13,6.440161733003989e-13,5.608018687996094e-13,5.914913271231944e-13,4.832035392168832e-13,5.516366632336785e-13,4.4899954823240217e-13,4.1934770331457346e-13,15.0,3.727609373169621e-13,3.591927674205992e-13,4.1688675350098867e-13,3.0411910510347573e-13,3.4849523703596223e-13,3.9139467698036645e-13,3.1012029198096345e-13,3.250535940749485e-13
8.0,1.3725192100792614e-12,1.209782487484744e-12,7.622239004443332e-13,6.481626966094618e-13,6.424075480191517e-13,6.613261997673651e-13,6.259089825088893e-13,6.771443976699424e-13,12.0,5.695339340941175e-13,5.497100283012093e-13,4.635994977338825e-13,4.234779964665797e-13,4.583995965962765e-13,4.716266142567821e-13,4.1100619654221733e-13,4.0482391126807086e-13,16.0,4.174350525723289e-13,3.8194489532671897e-13,4.0786070096850257e-13,2.7247967333130724e-13,3.823948106437957e-13,3.7306792834407433e-13,2.929265099510739e-13,3.3208349490131317e-13
,,,,,,,,,,,,,,,,,,17.0,4.3660869267569044e-13,4.0992251177115293e-13,2.8354706605306714e-13,2.673990684909943e-13,3.2731804789877575e-13,3.4640757966179344e-13,3.4880970381260765e-13,3.0412791341770993e-13
,,,,,,,,,,,,,,,,,,18.0,4.4135511925446245e-13,4.0688610660047383e-13,1.950576345223932e-13,2.0530677663518647e-13,2.606932726550688e-13,2.732452041439725e-13,3.33172546233337e-13,2.9283609345329137e-13
,,,,,,,,,,,,,,,,,,19.0,2.8320184757284655e-13,2.284513299364429e-13,1.4289657397731304e-13,1.5639242826205762e-13,2.294564657786242e-13,2.080596325563057e-13,2.6138673678077433e-13,2.454542707286794e-13
,,,,,,,,,,,,,,,,,,20.0,2.295096541443583e-13,1.8207518128366632e-13,1.545682348471745e-13,1.3400374367208394e-13,2.367734886997878e-13,1.7049363809776337e-13,2.619027977073465e-13,2.321090926060408e-13
,,,,,,,,,,,,,,,,,,21.0,2.160409389867939e-13,1.94159451367925e-13,1.7147397371487167e-13,1.1534113127436756e-13,2.2259983826435395e-13,1.548721622689544e-13,2.6195425759617787e-13,2.3524431423930827e-13
,,,,,,,,,,,,,,,,,,22.0,2.0049739123993332e-13,1.8368750437474043e-13,1.7956801519470738e-13,1.0157525833521262e-13,2.5824372293053395e-13,1.3782378316806728e-13,2.755673745939757e-13,2.627260762379863e-13
,,,,,,,,,,,,,,,,,,23.0,1.946268463859511e-13,1.5277631431727294e-13,1.5700764616275315e-13,8.068685972043171e-14,1.8458465208732602e-13,1.0589033428963632e-13,2.0855795697233366e-13,2.34585173118179e-13
,,,,,,,,,,,,,,,,,,24.0,1.506454621576678e-13,1.5305125449136818e-13,1.3488558188672492e-13,7.211212536944266e-14,1.7041660833686006e-13,9.289138060198984e-14,1.9745587892706418e-13,2.362755638287941e-13
,,,,,,,,,,,,,,,,,,25.0,1.3872498454345688e-13,1.6106479596109198e-13,1.0936529152117185e-13,7.156665633172478e-14,2.0012034590036004e-13,8.16126107337108e-14,2.1828444394703748e-13,2.512529795698909e-13
,,,,,,,,,,,,,,,,,,26.0,1.3240872370799375e-13,1.540466222972518e-13,8.238885488918588e-14,6.90582799237772e-14,1.9547395836443676e-13,8.090687242423693e-14,2.593872409811266e-13,2.2595853154388342e-13
,,,,,,,,,,,,,,,,,,27.0,1.5048341488655802e-13,1.6932680448277915e-13,8.571772834750988e-14,6.18751226510937e-14,1.9476890615043764e-13,8.444283754530725e-14,2.5283754225909354e-13,2.747854305434216e-13
,,,,,,,,,,,,,,,,,,28.0,1.5858538188171e-13,1.3735264155547136e-13,8.839220303419851e-14,4.834565711657496e-14,1.8092288408918784e-13,7.254171234274192e-14,2.3827741080845724e-13,2.5716868067454185e-13
,,,,,,,,,,,,,,,,,,29.0,1.6036259474886622e-13,1.4110768349513695e-13,8.194490902058027e-14,5.1705710723969066e-14,1.6463436456857078e-13,7.233874797583529e-14,2.3029963922874223e-13,2.332251399375385e-13
,,,,,,,,,,,,,,,,,,30.0,1.7327437602717485e-13,1.583260843208649e-13,8.824275654665346e-14,5.851607365189234e-14,1.83100738456583e-13,8.078146568245554e-14,2.3177773993656364e-13,2.5085855076222333e-13
