freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,1.5522193084438898e-12,1.5255477978782252e-12,5.189787036601159e-13,5.809550813436543e-13,5.802737019664244e-13,6.725169999438158e-13,6.766174572511799e-13,6.587788390293826e-13,8.0,5.693433097070001e-12,5.774684252008906e-12,1.4259735522775377e-12,3.2819416829006434e-12,2.340694527464597e-12,4.02455493045813e-12,1.1306829033292156e-12,1.141154984394632e-12,12.0,4.665836674396547e-13,4.0345948913837836e-13,2.9606096979976667e-13,3.318139141678797e-13,2.8134820561312195e-13,3.350394562078064e-13,2.192581866772355e-13,1.80183089226631e-13
5.0,1.5741829294277562e-12,1.5509238878576127e-12,5.321996724995255e-13,5.672420026241934e-13,6.232509090477171e-13,6.574750990462479e-13,5.790708712904168e-13,5.188753188264682e-13,9.0,5.9002498122205805e-12,6.047852251936695e-12,2.884104092132159e-12,4.330898076764944e-12,2.428559318932461e-12,4.491554890868555e-12,2.2098225590866544e-12,1.9376836727262057e-12,13.0,4.0428214382843387e-13,3.231397769825106e-13,1.8258038149869915e-13,2.4653576980148167e-13,2.0935358527825852e-13,2.5508818117102827e-13,1.7820140767391493e-13,1.420998285779265e-13
6.0,1.903445550698281e-12,1.899865543585252e-12,4.741900480693078e-13,6.192856880775914e-13,6.104286508797747e-13,7.169905721482935e-13,6.631001262989874e-13,5.776680203108869e-13,10.0,2.8613975885367357e-12,3.052374169630144e-12,2.7622318884546277e-12,3.4075972648645145e-12,1.313629979763572e-12,3.1098731452136674e-12,2.1483587133840566e-12,1.9338303048153663e-12,14.0,3.6711468378576707e-13,2.946784748125844e-13,1.5174666573931607e-13,2.3440732566353716e-13,1.9040824919655155e-13,2.4885638315535187e-13,1.663077501656755e-13,1.183682099717722e-13
7.0,2.627220694972188e-12,2.558667647046107e-12,7.380525071890384e-13,1.2519483213318373e-12,1.0923853191444364e-12,1.4850423736857724e-12,7.172841328319548e-13,7.273815277221055e-13,11.0,8.741537846321556e-13,8.536353030125272e-13,8.771341528721762e-13,1.0340387611140651e-12,5.51752349367437e-13,9.653898753480343e-13,5.955650540358511e-13,5.514007577926687e-13,15.0,2.8429717873929065e-13,2.771356977993522e-13,1.4297043160514174e-13,1.8642264077201198e-13,1.8768333694577573e-13,2.0143184206489436e-13,1.620653105987652e-13,1.0003703554983986e-13
8.0,5.693433097070001e-12,5.774684252008906e-12,1.4259735522775377e-12,3.2819416829006434e-12,2.340694527464597e-12,4.02455493045813e-12,1.1306829033292156e-12,1.141154984394632e-12,12.0,4.665836674396547e-13,4.0345948913837836e-13,2.9606096979976667e-13,3.318139141678797e-13,2.8134820561312195e-13,3.350394562078064e-13,2.192581866772355e-13,1.80183089226631e-13,16.0,2.9767002947000673e-13,2.9802680478727307e-13,1.3618688728017718e-13,1.852498389892045e-13,1.8764843329813463e-13,2.0398011602161243e-13,1.5432000136960033e-13,9.830094574503045e-14
,,,,,,,,,,,,,,,,,,17.0,3.127134423853523e-13,3.197462183149847e-13,1.4201103765018335e-13,1.8035184386695022e-13,1.8093750866183396e-13,1.993628131635104e-13,1.590651174886583e-13,9.600655954051134e-14
,,,,,,,,,,,,,,,,,,18.0,3.0145123337734016e-13,3.0962724028790334e-13,1.624276319843945e-13,1.6743216709208998e-13,1.8610893910635084e-13,1.7691903439007054e-13,1.5175691087742854e-13,9.90529501577232e-14
,,,,,,,,,,,,,,,,,,19.0,2.75654082223869e-13,2.918666843610695e-13,1.4532132204042346e-13,1.4600382498925066e-13,1.7243277541445193e-13,1.5390803406462706e-13,1.4269701148109373e-13,9.131636036030797e-14
,,,,,,,,,,,,,,,,,,20.0,2.0137669469723136e-13,2.3192981089018303e-13,1.1670885883743394e-13,1.1210336375162438e-13,1.3280413646798312e-13,1.154678421402335e-13,1.2191064645947564e-13,7.348518778430398e-14
,,,,,,,,,,,,,,,,,,21.0,1.562663063159863e-13,1.731528735425217e-13,8.481916258313575e-14,7.713355690934523e-14,9.164143145614039e-14,7.984927439745748e-14,1.0565991796645231e-13,5.860782645492311e-14
,,,,,,,,,,,,,,,,,,22.0,1.2309032365393753e-13,1.2920406750522696e-13,6.066084295243845e-14,5.3118939801349274e-14,6.882323523003488e-14,5.468114782433776e-14,9.309706561958566e-14,5.1170796542774667e-14
,,,,,,,,,,,,,,,,,,23.0,1.0204021263116355e-13,1.0226653958350503e-13,4.418024370952378e-14,4.4574215974378925e-14,5.301740640465581e-14,4.689684077054629e-14,8.597135105569559e-14,4.116817406113711e-14
,,,,,,,,,,,,,,,,,,24.0,8.991446836440325e-14,9.39612226000496e-14,4.3516437912205225e-14,4.162062173822639e-14,4.800781943889889e-14,4.3528397452947994e-14,7.892169391245981e-14,3.474437166179997e-14
,,,,,,,,,,,,,,,,,,25.0,7.48751294440906e-14,7.925177256904059e-14,3.7915372840601305e-14,3.547275979778015e-14,4.071739060799585e-14,3.6174400790122075e-14,7.259140518550881e-14,3.04124465228101e-14
,,,,,,,,,,,,,,,,,,26.0,6.602370599112692e-14,7.545559425641987e-14,3.533545897381153e-14,3.079643151568203e-14,4.029827261984648e-14,3.36338055930986e-14,6.455327597317692e-14,2.6154563483813057e-14
,,,,,,,,,,,,,,,,,,27.0,6.119613714185383e-14,7.003850326361263e-14,3.222852750771192e-14,2.862292762564031e-14,3.5226061569912606e-14,3.0604904605928735e-14,5.626436478331697e-14,2.2840199876883853e-14
,,,,,,,,,,,,,,,,,,28.0,5.527085168216856e-14,5.692091878358346e-14,2.8284294115574238e-14,2.8097238933053133e-14,2.951516559001781e-14,2.970397894586706e-14,4.7441975608027873e-14,2.0051922175233218e-14
,,,,,,,,,,,,,,,,,,29.0,5.171653509896766e-14,5.1124262711614973e-14,2.5547394734658318e-14,2.5442700707665607e-14,2.8168722133219297e-14,2.675786746740797e-14,4.3576371410169975e-14,1.9825784218898606e-14
,,,,,,,,,,,,,,,,,,30.0,4.593594381617145e-14,4.77022378226817e-14,2.282343268806533e-14,2.1949618168331488e-14,2.4905663553000493e-14,2.2737119853022037e-14,4.003619144696498e-14,1.8701351619374125e-14
