freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,7.224693468103466e-12,7.082924099190622e-12,1.1967545237978472e-12,2.21598479949164e-12,1.470772428861456e-12,4.0231170377473006e-12,4.7752539398764464e-12,3.699114886639738e-12,8.0,2.4680628838810436e-12,2.3807347309985026e-12,7.355387240229267e-13,7.993740902896559e-13,9.299301689820483e-13,1.589195951003264e-12,3.3311107991137826e-12,1.6687235683761558e-12,12.0,1.3499834861738163e-12,1.215986521531555e-12,7.009010001917539e-13,7.1245444369702e-13,5.878943743922692e-13,1.093574457804208e-12,2.002938690050204e-12,1.155454431164268e-12
5.0,4.058332266760222e-12,3.680532237081655e-12,9.207898922457724e-13,1.3437287808007806e-12,9.509408204446068e-13,2.7641548339262955e-12,3.759474450997222e-12,2.2605783694363815e-12,9.0,2.139644010191543e-12,2.081290487498723e-12,8.201963744129983e-13,7.670485743902111e-13,1.055382791774733e-12,1.4311414012988584e-12,3.766220505013028e-12,1.84341399906278e-12,13.0,1.4446893909676718e-12,1.3121560032867418e-12,9.410004165048268e-13,6.851511671227545e-13,7.580601587142191e-13,1.0179336392395368e-12,1.568134186286839e-12,1.0545630321228345e-12
6.0,3.2450366311376876e-12,3.0455477670603376e-12,7.559861461724592e-13,9.632456771838395e-13,8.124485941668145e-13,2.241480902115877e-12,3.3467054744401205e-12,1.7500072324916382e-12,10.0,1.6305191985524248e-12,1.560929207727476e-12,5.368310151864056e-13,6.286568542183198e-13,6.172223959413883e-13,1.2161941051332717e-12,3.4956256716842805e-12,1.5667934161988918e-12,14.0,8.548556539724214e-13,8.935297661876942e-13,4.1214183112299233e-13,4.1761231643738375e-13,3.822292875961404e-13,8.255632030270438e-13,1.4861065518786145e-12,8.426511339255013e-13
7.0,2.742896407003909e-12,2.7178934754361583e-12,6.375514751982368e-13,8.917217982859226e-13,7.732355782191702e-13,1.7844617703959556e-12,3.0443060455068253e-12,1.5316998532505606e-12,11.0,1.2595914359151404e-12,1.2548745897403013e-12,4.785385596157322e-13,5.264752252666332e-13,4.839894426400891e-13,1.0916786903164568e-12,2.8957514587807226e-12,1.4548873174710363e-12,15.0,6.584738229679762e-13,8.510768578668844e-13,2.7393486517858546e-13,3.7679421962613054e-13,2.7251169045746395e-13,6.586688708501423e-13,1.5658860892389631e-12,7.349767664764684e-13
8.0,2.4680628838810436e-12,2.3807347309985026e-12,7.355387240229267e-13,7.993740902896559e-13,9.299301689820483e-13,1.589195951003264e-12,3.3311107991137826e-12,1.6687235683761558e-12,12.0,1.3499834861738163e-12,1.215986521531555e-12,7.009010001917539e-13,7.1245444369702e-13,5.878943743922692e-13,1.093574457804208e-12,2.002938690050204e-12,1.155454431164268e-12,16.0,6.46359914998481e-13,8.577166751488608e-13,2.911302606837273e-13,4.236360894185576e-13,3.021526527136477e-13,6.788577368755968e-13,1.5856004374818928e-12,7.550410924082115e-13
,,,,,,,,,,,,,,,,,,17.0,7.250137949690215e-13,8.842121216572241e-13,3.299316508265542e-13,4.881502875590555e-13,3.541594761955832e-13,7.308785153358058e-13,1.6110584108159987e-12,8.115248209080294e-13
,,,,,,,,,,,,,,,,,,18.0,7.435092341802701e-13,8.590028451280773e-13,3.580777405632856e-13,5.143927954442091e-13,3.8838130051834725e-13,7.286738350920264e-13,1.4472836840347504e-12,7.781552968500506e-13
,,,,,,,,,,,,,,,,,,19.0,6.9663724152615e-13,8.469003302739654e-13,3.591966510079282e-13,5.478522436811338e-13,3.873090770070273e-13,7.36688251865672e-13,1.5462225086291074e-12,6.977163467910994e-13
,,,,,,,,,,,,,,,,,,20.0,6.659064549087934e-13,8.253305293627111e-13,3.63546849301486e-13,5.214085182439875e-13,3.930132420096703e-13,7.704886264894455e-13,1.5209706751440511e-12,7.608803064615553e-13
,,,,,,,,,,,,,,,,,,21.0,5.605121698987142e-13,7.603349441856108e-13,3.327924706486918e-13,4.58179002281514e-13,3.384333351655937e-13,6.687422978439103e-13,1.4124535793720762e-12,7.318453915742721e-13
,,,,,,,,,,,,,,,,,,22.0,5.333455337843705e-13,6.758728596903775e-13,2.8875648765327147e-13,3.906581266038074e-13,2.9873470009784735e-13,5.890502436238076e-13,1.4114291313450592e-12,7.101405825888883e-13
,,,,,,,,,,,,,,,,,,23.0,4.854522248945161e-13,6.169439339468269e-13,2.6599554820196045e-13,3.090836233264034e-13,2.594576495415703e-13,4.970442541944615e-13,1.2475415960071635e-12,6.326128474046548e-13
,,,,,,,,,,,,,,,,,,24.0,4.460042734867255e-13,5.657680320304272e-13,2.514941874701708e-13,2.5989170358272516e-13,2.2274116605787275e-13,4.2823730549312894e-13,1.1404470512044907e-12,6.475978819700017e-13
,,,,,,,,,,,,,,,,,,25.0,4.0895298979215615e-13,5.604244901124325e-13,2.321891428299974e-13,2.1529329330960306e-13,2.0358931783000798e-13,3.5036382826760224e-13,1.1344109039253793e-12,6.186106745608987e-13
,,,,,,,,,,,,,,,,,,26.0,3.540960643830649e-13,5.123243223708568e-13,2.0196335527965964e-13,1.8818569363642866e-13,1.6927123831036965e-13,3.208575236039536e-13,1.119645480561896e-12,5.758639372034413e-13
,,,,,,,,,,,,,,,,,,27.0,3.184078278496139e-13,4.701769396976154e-13,1.7231291709958865e-13,1.6880588569159127e-13,1.4151069196620406e-13,2.918883023302511e-13,1.1163769161857536e-12,5.595470886150775e-13
,,,,,,,,,,,,,,,,,,28.0,2.8837323169447756e-13,4.423759778634998e-13,1.5309701420631774e-13,1.5353867598834986e-13,1.2662821781247321e-13,2.7056692729329475e-13,1.0550903832468973e-12,5.613319066996151e-13
,,,,,,,,,,,,,,,,,,29.0,2.5735403730617727e-13,4.067640523397478e-13,1.4058956719153832e-13,1.2539242162410805e-13,1.1439591428416235e-13,2.274568504774162e-13,9.388876496949367e-13,5.373947513996505e-13
,,,,,,,,,,,,,,,,,,30.0,2.486302003691287e-13,3.692681440029583e-13,1.2906461405873694e-13,1.1337229092124413e-13,1.0171172214635225e-13,2.0407383301897027e-13,9.930550407401139e-13,5.765533913285271e-13
