freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,1.0247064545580455e-11,8.19186942059214e-12,1.070785925619104e-12,2.2230564487985387e-12,1.7467786472355967e-12,3.4449975051088397e-12,4.2280020969405955e-12,3.6232227807520286e-12,8.0,3.656611881167263e-12,3.42112581952421e-12,1.153116321532479e-12,1.310554904796173e-12,1.6356879514214855e-12,1.6893037441325402e-12,1.9154721772255025e-12,2.293386508739871e-12,12.0,2.4889205489715247e-12,1.9323734108182753e-12,1.410968079343346e-12,1.5492343980371488e-12,9.797732955424988e-13,1.3534251119555805e-12,6.888695138120192e-13,1.486538374107246e-12
5.0,5.644489806409567e-12,4.985502530574157e-12,8.129745749303541e-13,1.2202744656775606e-12,9.97577325475178e-13,2.4211056945065016e-12,2.608315718763968e-12,2.6900118442118417e-12,9.0,2.6565653180668916e-12,2.4417940754810368e-12,1.909652615674156e-12,1.1910575257223308e-12,2.7275164143276822e-12,1.244957702650088e-12,2.114327758762329e-12,3.362249687624469e-12,13.0,2.414260875275863e-12,2.1206724460876646e-12,1.6482885588483001e-12,1.523352691359092e-12,1.0065689391468595e-12,1.2238994219041315e-12,6.214020465415324e-13,1.2321158924928582e-12
6.0,5.468167189439655e-12,4.456506463336035e-12,7.556478486976079e-13,1.1574566212830929e-12,8.7887415405816e-13,2.3802713585204315e-12,2.197433910832613e-12,2.1652172634615793e-12,10.0,2.4550297456347867e-12,1.957260112228069e-12,1.2277336806630982e-12,1.0213295309070524e-12,1.6764706094823663e-12,1.0122658290883865e-12,1.371998073641788e-12,2.628856726331253e-12,14.0,7.91819178871833e-13,1.122315798238134e-12,4.986936479572999e-13,4.4347812138375677e-13,4.3833249326544093e-13,5.905612286960701e-13,4.693410242265095e-13,8.808081942245593e-13
7.0,4.885428464172941e-12,3.893174044165105e-12,7.827350749125305e-13,1.2544579827333016e-12,9.658532242985803e-13,2.141416588410994e-12,1.7312178538490587e-12,2.056571436979162e-12,11.0,1.7912094066314446e-12,1.5758468304552113e-12,6.36716807037367e-13,7.808489317313717e-13,7.231976020994129e-13,9.500373044766806e-13,7.431848199902991e-13,1.6116477437579412e-12,15.0,6.342710013021368e-13,9.779392521671467e-13,3.69403861038988e-13,4.0225784294524966e-13,3.682372199601342e-13,5.368480168782036e-13,4.4361639854105315e-13,9.084640633465033e-13
8.0,3.656611881167263e-12,3.42112581952421e-12,1.153116321532479e-12,1.310554904796173e-12,1.6356879514214855e-12,1.6893037441325402e-12,1.9154721772255025e-12,2.293386508739871e-12,12.0,2.4889205489715247e-12,1.9323734108182753e-12,1.410968079343346e-12,1.5492343980371488e-12,9.797732955424988e-13,1.3534251119555805e-12,6.888695138120192e-13,1.486538374107246e-12,16.0,7.112230263166613e-13,1.109509518500791e-12,3.728723996430553e-13,4.2980016375630296e-13,3.733661873077555e-13,5.572746793252018e-13,5.226493510640899e-13,9.741557720817952e-13
,,,,,,,,,,,,,,,,,,17.0,6.967833781606536e-13,1.0719016263299782e-12,3.5561748240722357e-13,4.1914207983284535e-13,4.0129624401451874e-13,5.305250259746093e-13,5.509169224320764e-13,8.868476889072469e-13
,,,,,,,,,,,,,,,,,,18.0,6.591877923736811e-13,9.327657667054834e-13,3.7012616721810313e-13,5.022268849748935e-13,4.17293436295269e-13,5.840411875207201e-13,5.385064577193765e-13,8.276978884041083e-13
,,,,,,,,,,,,,,,,,,19.0,6.095935888649054e-13,1.1269007598710783e-12,4.4215167107833924e-13,5.673379374438178e-13,4.821322548681532e-13,6.89725518209933e-13,5.537382075788128e-13,7.925101365908632e-13
,,,,,,,,,,,,,,,,,,20.0,5.965672742409105e-13,9.27170446186482e-13,3.829601698176452e-13,5.370134886817463e-13,3.9135405806102967e-13,6.237377806228366e-13,5.381912107434644e-13,8.430724390488217e-13
,,,,,,,,,,,,,,,,,,21.0,6.63611368357986e-13,9.46000861546722e-13,3.875802595743557e-13,4.865798755103216e-13,3.8576504866551503e-13,6.603705621402404e-13,4.891863517813951e-13,9.795130246190642e-13
