freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,3.282429910404411e-12,3.3264984186464697e-12,1.0251948140212897e-12,9.839993092196378e-13,1.2379908293138694e-12,2.4003789871045347e-12,2.239542202795616e-12,2.240208294048088e-12,8.0,3.044038087607846e-12,2.3968703520947487e-12,2.909491198115627e-12,1.1755028966248127e-12,4.224592931873189e-12,1.7413150750865121e-12,4.032525682015865e-12,4.289255925216125e-12,12.0,2.690162905779233e-12,1.515909932301783e-12,1.5896411496887373e-12,1.6939613092704223e-12,1.2579874978973391e-12,1.1958247359028566e-12,1.0053128628536469e-12,5.320630155990427e-13
5.0,2.2916135351853323e-12,2.151960257156534e-12,8.885811330094216e-13,7.630569643106754e-13,9.580680918492665e-13,1.5050338522258569e-12,1.5198756332670404e-12,1.4336820423196322e-12,9.0,3.76543087968542e-12,2.4337920351728766e-12,4.137913005849403e-12,2.0077157736243553e-12,6.427457822333168e-12,2.07726317189891e-12,6.114968689034577e-12,6.241266801685884e-12,13.0,2.0006319794245003e-12,1.3315115353552307e-12,1.4329993283220467e-12,1.2094420889710916e-12,1.0921113312975924e-12,9.23907415531274e-13,9.19003214921229e-13,4.1515788551832573e-13
6.0,1.999310018313491e-12,1.826092075354937e-12,8.787271025161567e-13,7.727827966832624e-13,1.001399367388643e-12,1.2398771713430274e-12,1.1318673515170886e-12,1.1418521442034459e-12,10.0,2.1171149022570355e-12,1.389976196408702e-12,1.2592036939468995e-12,1.239770700183848e-12,1.752255381146956e-12,1.1427988746822602e-12,2.5744904372200136e-12,1.5673196225976724e-12,14.0,6.116023415556612e-13,5.833642727984987e-13,3.906074711873971e-13,4.508927816571043e-13,3.6085070262941246e-13,4.916830747523368e-13,7.295510926262513e-13,3.2776191584321297e-13
7.0,2.04678069580159e-12,1.8121416941303534e-12,1.0447751305701441e-12,8.424576319564081e-13,1.305080210836268e-12,1.1883966966473495e-12,1.4090346198861862e-12,1.2630595053041357e-12,11.0,1.286079193840587e-12,9.205722305326675e-13,6.277442225748346e-13,8.007141353608193e-13,6.312048435477878e-13,7.539237180999235e-13,1.1813350984590036e-12,5.648107043256255e-13,15.0,5.511566598986183e-13,5.576999922563164e-13,2.7400577852110455e-13,4.884602000530502e-13,2.9010951322608463e-13,5.876920101503382e-13,7.846072275853676e-13,3.211993450674683e-13
8.0,3.044038087607846e-12,2.3968703520947487e-12,2.909491198115627e-12,1.1755028966248127e-12,4.224592931873189e-12,1.7413150750865121e-12,4.032525682015865e-12,4.289255925216125e-12,12.0,2.690162905779233e-12,1.515909932301783e-12,1.5896411496887373e-12,1.6939613092704223e-12,1.2579874978973391e-12,1.1958247359028566e-12,1.0053128628536469e-12,5.320630155990427e-13,16.0,6.280646687762066e-13,6.783569209478752e-13,2.8485009413428537e-13,6.023870870321132e-13,3.1410534860834986e-13,6.932905398542647e-13,9.290448816922852e-13,3.3397413389307354e-13
,,,,,,,,,,,,,,,,,,17.0,8.136145155146819e-13,8.155048616982977e-13,3.515839317293199e-13,7.111498200835351e-13,4.0752393547768685e-13,8.118462417895586e-13,1.0375711737938076e-12,4.230260054889151e-13
,,,,,,,,,,,,,,,,,,18.0,1.009670367154487e-12,9.015138264307978e-13,4.069139673126516e-13,9.258361674993569e-13,4.694507176812565e-13,1.001415392842968e-12,1.0101554131644118e-12,4.847415872812861e-13
,,,,,,,,,,,,,,,,,,19.0,7.887085648957138e-13,7.345401076163062e-13,4.624851896934961e-13,9.006236249085159e-13,4.78596568116131e-13,1.0516814932054408e-12,9.022099387271639e-13,3.907263058340754e-13
,,,,,,,,,,,,,,,,,,20.0,6.964086197655834e-13,6.660450577962093e-13,4.3052899127732684e-13,8.011149272194894e-13,4.4177273759639477e-13,1.0247985503625971e-12,8.870619254677485e-13,3.5835476677640896e-13
,,,,,,,,,,,,,,,,,,21.0,6.53915442517311e-13,6.207204358335807e-13,3.3474255871014753e-13,6.027681574094965e-13,3.3275820764816633e-13,7.284491563437955e-13,8.31934262359258e-13,3.093318614678663e-13
,,,,,,,,,,,,,,,,,,22.0,5.632493198910482e-13,5.620906805031755e-13,3.1190454373370995e-13,4.72322558725751e-13,2.813314893793254e-13,5.560733704986967e-13,7.438186674503964e-13,2.877095815654986e-13
,,,,,,,,,,,,,,,,,,23.0,4.845907522557827e-13,4.975641329721056e-13,2.623725601910452e-13,3.651085263818097e-13,2.222667491667446e-13,4.1927832726868485e-13,6.774646064605289e-13,2.5713856219766506e-13
,,,,,,,,,,,,,,,,,,24.0,4.51433186601041e-13,4.883943491842861e-13,2.1402322657043405e-13,2.905431076048943e-13,1.7664333756098546e-13,3.6404883311344226e-13,7.174295615389691e-13,2.4361520864028437e-13
,,,,,,,,,,,,,,,,,,25.0,3.385075926551181e-13,3.8138035813230703e-13,1.8170102156713774e-13,1.973887308947307e-13,1.5212396676324783e-13,2.6345865407146825e-13,7.454406523179467e-13,2.5232118369246084e-13
,,,,,,,,,,,,,,,,,,26.0,2.842744933482556e-13,3.226712926083287e-13,1.438196532631621e-13,1.4871444748325596e-13,1.338448215519483e-13,1.9995253935319403e-13,7.750126652990351e-13,2.1169554500999699e-13
,,,,,,,,,,,,,,,,,,27.0,2.3751673408136306e-13,2.8371468306863295e-13,1.194382136513814e-13,1.3238078821976943e-13,1.1151615452520332e-13,1.8475861294674477e-13,7.535416558788847e-13,2.012424753716215e-13
,,,,,,,,,,,,,,,,,,28.0,1.9327064006217787e-13,2.565280013755599e-13,1.0545054578088435e-13,1.0176519515943142e-13,9.125045255919063e-14,1.6714175155725188e-13,7.135383390277844e-13,2.267181741936018e-13
,,,,,,,,,,,,,,,,,,29.0,1.567809014649748e-13,2.2371059270603754e-13,8.546103945064287e-14,8.094824287312664e-14,7.3552308993269e-14,1.4001071176532476e-13,6.85561452950529e-13,2.1217841186301206e-13
,,,,,,,,,,,,,,,,,,30.0,1.4591949967245355e-13,2.1310694065601053e-13,7.6843733918005e-14,6.796741639591049e-14,6.344053439801296e-14,1.1594596290184882e-13,6.715293588606075e-13,1.581890207642541e-13
