freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,1.7869701456417195e-12,1.7675324158717409e-12,1.7603652904314245e-12,1.7735032032479205e-12,1.686371644232432e-11,1.6706354159942763e-11,1.8126424163970935e-12,1.795654564043593e-12,8.0,4.037177637365378e-13,4.056627454667819e-13,3.9416946146583033e-13,3.9471909957115324e-13,4.044631182533225e-12,4.0402043023718844e-12,4.076905731510857e-13,4.0844204866644313e-13,12.0,2.74499608578279e-13,2.6878555363982624e-13,2.689018808757308e-13,2.7405041245901913e-13,3.458359130462086e-12,4.2108282543329546e-12,2.780256463668861e-13,2.727772154649758e-13
5.0,1.2982980095186584e-12,1.2913350938321748e-12,1.2845110353697796e-12,1.2744513820725125e-12,1.2557965224723402e-11,1.1886296414261274e-11,1.2968570698378858e-12,1.2910184591347688e-12,9.0,3.499730288564547e-13,3.5382057654174383e-13,3.5613632723029076e-13,3.435316513509905e-13,3.2746914552114003e-12,3.97510304231413e-12,3.5014482478854683e-13,3.563431677101337e-13,13.0,1.3740080246149882e-13,1.3862713252877003e-13,1.3514271381553014e-13,1.344477822323086e-13,2.926847834590858e-12,2.6826085205556086e-12,1.3935738802013707e-13,1.341469113056142e-13
6.0,7.353909071464152e-13,7.402947883572539e-13,7.35186518054114e-13,7.348402419447718e-13,7.536093421236265e-12,6.835334382444401e-12,7.455449839534184e-13,7.454604033837835e-13,10.0,2.933692713753009e-13,2.9043533984060413e-13,2.8402208268388137e-13,2.8159464242868567e-13,2.2712578497222444e-12,3.5592001541003663e-12,2.8827705939114085e-13,2.9500847124814755e-13,14.0,9.887804115110798e-14,1.0050645920238583e-13,9.700000892689921e-14,9.766917103270488e-14,1.3979364240897176e-12,1.3008338558859741e-12,9.844802267891919e-14,9.599959647680542e-14
7.0,5.12906704282844e-13,5.122601445852855e-13,4.882205401238681e-13,5.003790239790592e-13,5.15005678521355e-12,5.047254098374231e-12,5.171375106418759e-13,5.195824406049219e-13,11.0,2.4060373036123794e-13,2.375185598709852e-13,2.441878371976721e-13,2.3865461823360366e-13,1.5911603395033263e-12,3.6731612109999136e-12,2.464006151290496e-13,2.410951393822625e-13,15.0,8.817130176920189e-14,8.885234026090116e-14,8.557323650080715e-14,8.997883526679374e-14,9.39375502538458e-13,9.838559115596276e-13,8.961311442419832e-14,9.217789743485033e-14
8.0,4.037177637365378e-13,4.056627454667819e-13,3.9416946146583033e-13,3.9471909957115324e-13,4.044631182533225e-12,4.0402043023718844e-12,4.076905731510857e-13,4.0844204866644313e-13,12.0,2.74499608578279e-13,2.6878555363982624e-13,2.689018808757308e-13,2.7405041245901913e-13,3.458359130462086e-12,4.2108282543329546e-12,2.780256463668861e-13,2.727772154649758e-13,16.0,9.371280529762728e-14,9.254621351576049e-14,8.942465222741476e-14,9.20813403665715e-14,1.2020256591542772e-12,8.586704666661455e-13,9.195900676862441e-14,9.143546320286781e-14
,,,,,,,,,,,,,,,,,,17.0,7.364309726469774e-14,7.291823714078542e-14,7.186989429622827e-14,6.896394957960355e-14,9.136247849783795e-13,7.948931669878585e-13,7.077900326939409e-14,7.160589901674498e-14
,,,,,,,,,,,,,,,,,,18.0,6.855230558028968e-14,7.153688818064704e-14,7.302131353316993e-14,7.194266165551683e-14,1.0651357337936612e-12,7.822751118866241e-13,7.326580678840227e-14,6.848478212086684e-14
,,,,,,,,,,,,,,,,,,19.0,5.475614906168941e-14,5.3781487242484946e-14,5.41390128913372e-14,5.763289821203952e-14,8.029441176250097e-13,6.474395245207864e-13,5.633934698351842e-14,5.3196622024046215e-14
,,,,,,,,,,,,,,,,,,20.0,5.745883802297495e-14,5.719269897338803e-14,5.5294404830323364e-14,5.713241736061269e-14,7.086797954626754e-13,7.313051330952563e-13,5.744483345104999e-14,5.63732723053724e-14
,,,,,,,,,,,,,,,,,,21.0,5.0366080720967676e-14,4.821142843750348e-14,4.8695275630631534e-14,4.8524863078824994e-14,6.275761871241458e-13,6.61094403108135e-13,5.140616494629905e-14,4.962730302364466e-14
