freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,7.058415472789986e-11,3.7357012597350174e-11,1.213081701220304e-11,2.1815074907860105e-11,1.0759796618342342e-10,1.1802104304867483e-10,5.009923886258405e-11,1.1156944860010206e-11,8.0,1.008319005560398e-12,3.7569425682775327e-13,1.4384449834324946e-12,1.1785137379811906e-12,1.0738557785511126e-12,2.3388677180425394e-12,4.862293435540881e-13,1.6335499281542097e-12,12.0,1.3442789379514807e-12,1.1588790567828423e-12,3.437631648046442e-14,1.8723062531871193e-13,4.277300576333376e-12,6.010885319449277e-12,1.8039917542275491e-12,1.0792712449100942e-12
5.0,1.1243100284786484e-11,3.120974892180257e-12,2.79655244106526e-12,2.5386306927342427e-12,1.1861881002330882e-11,1.280227071784783e-11,3.4598294908843048e-12,7.325147910674172e-12,9.0,8.584232611055692e-13,1.1655966706797937e-12,7.865019001588246e-13,2.2207782872864912e-12,4.369829155087086e-12,5.669081061925586e-12,7.233984912168235e-13,3.835742984565335e-13,13.0,2.6382033349057105e-12,3.8528561185322757e-13,2.1859582303287338e-13,1.814132221854036e-13,5.42400648296845e-12,4.632349436402346e-12,1.393844803516356e-12,7.49203517898603e-13
6.0,1.2335509929432593e-12,1.0824248061082341e-12,2.0839510486859885e-12,7.070892583163866e-14,4.920703778472423e-12,7.143108621116517e-12,2.3817627105059617e-12,2.8574142608296385e-12,10.0,1.0469028741820207e-12,1.8716306665644246e-13,7.380264223129418e-13,2.7759397460398694e-12,4.34811802686697e-12,3.2861925211634168e-12,2.369575634610142e-13,3.152896895732601e-13,14.0,1.3752389295653012e-12,5.737821753458869e-14,2.530872692167454e-13,5.540515387118871e-14,1.5959536168713579e-12,1.2190524218352249e-12,8.471679172246889e-13,5.115554732215377e-13
7.0,2.553603826277734e-12,8.47936861926005e-13,2.798114631152379e-12,3.0069315121506976e-13,1.0787676738782192e-12,1.0925334589107863e-12,1.768793189656787e-12,2.479276590549733e-12,11.0,5.447839865017757e-13,5.85838059011294e-13,3.3510109602439215e-13,1.7889311094736416e-12,1.839057374841513e-12,1.3134836414558393e-12,8.045364441941394e-13,6.196822159574098e-13,15.0,3.5063175350591404e-13,4.279278633895906e-13,4.67612863449062e-13,6.46104098208483e-13,1.6060933355630945e-13,3.874625662288897e-13,1.2686972970768874e-12,4.308208866294183e-14
8.0,1.008319005560398e-12,3.7569425682775327e-13,1.4384449834324946e-12,1.1785137379811906e-12,1.0738557785511126e-12,2.3388677180425394e-12,4.862293435540881e-13,1.6335499281542097e-12,12.0,1.3442789379514807e-12,1.1588790567828423e-12,3.437631648046442e-14,1.8723062531871193e-13,4.277300576333376e-12,6.010885319449277e-12,1.8039917542275491e-12,1.0792712449100942e-12,16.0,4.1321547141372497e-13,8.931653403472162e-13,4.730289764742107e-13,2.2178372060296723e-12,2.2927269465967244e-12,2.9892974805214075e-12,7.906176188092563e-13,3.760853576350033e-13
,,,,,,,,,,,,,,,,,,17.0,1.1066209594174474e-12,1.8301296862743193e-12,6.266940149664187e-13,2.937525491200087e-12,3.6224295495908377e-12,3.737649695536418e-12,1.2747761697677964e-12,1.0631602818340972e-12
,,,,,,,,,,,,,,,,,,18.0,1.6487211196002507e-12,6.020718368297303e-13,7.877930267454405e-13,2.8966558159978733e-12,1.4246884716315935e-12,6.409135601430391e-13,4.628065533011215e-12,1.0773124351272084e-12
,,,,,,,,,,,,,,,,,,19.0,2.4036740876947295e-12,1.1537636204227801e-12,4.011938393874092e-13,2.4457050248230355e-12,2.6832056843310474e-13,1.4881824701765245e-13,7.7485250712302e-12,1.5167585225436345e-12
,,,,,,,,,,,,,,,,,,20.0,2.728022819848962e-12,2.1760156628389657e-12,3.00504772765173e-14,1.4349351922804183e-12,1.592450443945271e-13,5.942358732022812e-13,6.350399206346311e-12,1.7678925238494438e-12
,,,,,,,,,,,,,,,,,,21.0,1.8243404100715404e-12,1.921657965158293e-12,2.619392563529272e-13,2.9776157517488765e-13,3.430099390465393e-14,9.949196847384055e-14,3.98292093609072e-12,7.968640954058671e-13
