freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.131221470331409e-12,1.7893445841206931e-12,5.43607190844985e-13,5.638021530723307e-13,7.46978827721515e-13,6.242554320082678e-13,1.4741331521015506e-12,1.733138021674829e-12,8.0,3.252860760315642e-12,2.951397808459203e-12,9.041885088480145e-13,1.933612673067739e-12,7.72320703103617e-13,1.2224874838518655e-12,1.5679432209568063e-12,1.5687527256936975e-12,12.0,2.1516110738830414e-12,2.014893961357023e-12,8.170937324185594e-13,2.2815522093387764e-12,8.749587467090146e-13,2.392486320179578e-12,9.814912672438996e-13,7.439521933140438e-13
5.0,2.045202154026176e-12,1.4230109860731867e-12,4.3289851285181753e-13,4.888934488584849e-13,6.444077671814077e-13,5.584119252545074e-13,1.106198593979902e-12,1.3944352709568175e-12,9.0,6.222142929527013e-12,5.9316778164721096e-12,1.3034096486365426e-12,3.6218207948799564e-12,1.0309106055212406e-12,2.5491779443693196e-12,2.198986778847892e-12,1.964517712008363e-12,13.0,3.0321117902171897e-12,2.932817480214288e-12,1.7851355502715522e-12,2.5186065089181822e-12,1.4479614085708313e-12,2.618070636884557e-12,8.239951177637288e-13,7.178946611660539e-13
6.0,1.630483156897445e-12,1.3261878498066722e-12,3.642764621295033e-13,5.13308829309912e-13,5.040601676005649e-13,5.300785619430286e-13,9.971243941021392e-13,1.1722674061194328e-12,10.0,2.523510311230978e-12,2.480164897321326e-12,5.498922581233367e-13,1.3475962860378213e-12,6.109184639696933e-13,1.3642418262607278e-12,1.5341852335450855e-12,1.1502867637322538e-12,14.0,1.1857350607018654e-12,1.1125973772568684e-12,9.439024910297926e-13,5.306108847262949e-13,8.437154294267442e-13,5.848739128050281e-13,7.076721654349006e-13,4.818723284149041e-13
7.0,1.8088572725488375e-12,1.4250887342314415e-12,4.2547198539812295e-13,6.991410732273994e-13,5.16832135263129e-13,6.851215722114482e-13,9.554822869585527e-13,1.2119524465433838e-12,11.0,9.96351924771467e-13,9.971944479583834e-13,3.7884273451412254e-13,7.385651837803671e-13,4.917672403823307e-13,8.190591493917493e-13,1.4622047265304278e-12,6.782290726799485e-13,15.0,7.088156444369881e-13,5.460769572282178e-13,2.87200828459051e-13,2.157021466259639e-13,4.645522760831806e-13,2.4393107156191685e-13,6.791499096488261e-13,5.417193656636904e-13
8.0,3.252860760315642e-12,2.951397808459203e-12,9.041885088480145e-13,1.933612673067739e-12,7.72320703103617e-13,1.2224874838518655e-12,1.5679432209568063e-12,1.5687527256936975e-12,12.0,2.1516110738830414e-12,2.014893961357023e-12,8.170937324185594e-13,2.2815522093387764e-12,8.749587467090146e-13,2.392486320179578e-12,9.814912672438996e-13,7.439521933140438e-13,16.0,8.660956519387661e-13,5.652771463966225e-13,2.424755865674466e-13,2.0298379030378637e-13,4.830301481113958e-13,2.4717173116923946e-13,8.20769402150709e-13,7.202546029954953e-13
,,,,,,,,,,,,,,,,,,17.0,1.064747864039605e-12,6.386791393521417e-13,2.6101551023708135e-13,2.5330163596697773e-13,5.438351586862365e-13,2.987027331389605e-13,1.0917348605182257e-12,1.0128777336591465e-12
,,,,,,,,,,,,,,,,,,18.0,1.2109802221234791e-12,8.002881620251017e-13,3.085007025287492e-13,3.0859059604692864e-13,5.715192470323622e-13,3.7102434074505933e-13,1.2904475950867881e-12,1.461501042163454e-12
,,,,,,,,,,,,,,,,,,19.0,1.0848392482054272e-12,7.117127764403801e-13,2.964159223017956e-13,2.517367182705678e-13,5.152066184172967e-13,3.4368969912625887e-13,1.1667958810644354e-12,1.5961237930249698e-12
,,,,,,,,,,,,,,,,,,20.0,9.034309825605729e-13,6.135368081984836e-13,2.4758562916609097e-13,1.98050650891404e-13,4.930711806903621e-13,2.763998227526635e-13,9.371039784923824e-13,1.2960616364134615e-12
,,,,,,,,,,,,,,,,,,21.0,7.036483281098088e-13,4.940161104531643e-13,1.9837380408002906e-13,1.7102913153169636e-13,4.2212483692380897e-13,2.437029771599564e-13,6.717928482634148e-13,8.654829899117892e-13
