Time,imu0_ax,imu0_ay,imu0_az,imu1_ax,imu1_ay,imu1_az,imu2_ax,imu2_ay,imu2_az,imu3_ax,imu3_ay,imu3_az,Gesture
37,-20.0,20.0,2.89,-20.0,20.0,-9.65,-20.0,11.96,-10.71,-20.0,17.55,20.0,Default
51,20.0,-20.0,20.0,20.0,-20.0,20.0,-2.24,-20.0,20.0,-20.0,-20.0,20.0,Default
25,20.0,-20.0,20.0,20.0,-20.0,20.0,-1.12,-20.0,20.0,-10.96,-20.0,20.0,Default
4,19.07,-20.0,14.67,20.0,-20.0,1.63,20.0,-6.94,0.07,20.0,-0.3,7.74,Default
35,-20.0,20.0,-0.21,-20.0,20.0,-9.96,-20.0,13.97,-10.78,-20.0,18.16,20.0,Default
44,20.0,-20.0,20.0,20.0,-20.0,4.88,20.0,-20.0,0.22,20.0,-1.07,20.0,Default
14,20.0,-20.0,20.0,20.0,-20.0,20.0,-0.65,-20.0,20.0,-6.32,-20.0,20.0,Default
47,-20.0,20.0,7.84,-20.0,-20.0,-17.24,-20.0,-20.0,-19.31,-20.0,-20.0,20.0,Default
48,20.0,-20.0,20.0,20.0,-20.0,6.19,20.0,-20.0,0.27,20.0,-1.37,20.0,Default
5,-20.0,20.0,-10.72,-20.0,-20.0,-19.08,-20.0,-20.0,-19.77,-20.0,-20.0,18.33,Default
15,8.52,20.0,20.0,-20.0,-20.0,2.51,-20.0,-20.0,0.56,-20.0,-20.0,20.0,Default
4,-20.0,20.0,-1.75,-20.0,20.0,-10.11,-20.0,13.89,-10.8,-20.0,18.41,20.0,Default
48,-20.0,20.0,19.9,-20.0,20.0,-7.97,-20.0,0.89,-10.29,-20.0,14.18,20.0,Default
6,-20.0,20.0,1.34,-20.0,20.0,-9.81,-20.0,11.88,-10.73,-20.0,17.79,20.0,Default
53,-20.0,20.0,20.0,-20.0,20.0,-7.2,-20.0,-4.13,-10.09,-20.0,12.64,20.0,Default
39,-20.0,20.0,15.77,-20.0,9.88,0.44,-20.0,-0.79,0.34,-20.0,6.9,20.0,Default
7,12.26,-20.0,20.0,17.12,-20.0,20.0,-0.34,-20.0,20.0,-3.37,-20.0,20.0,Default
17,8.37,20.0,20.0,-20.0,-20.0,2.82,-20.0,-20.0,0.63,-20.0,-20.0,20.0,Default
56,-20.0,20.0,20.0,-20.0,9.88,3.05,-20.0,-17.89,1.0,-20.0,1.69,20.0,Default
58,12.45,20.0,20.0,-20.0,-20.0,3.2,-20.0,-20.0,-0.25,-20.0,-20.0,20.0,Default
3,11.26,-16.99,12.12,20.0,-20.0,1.3,20.0,-5.55,0.06,20.0,-0.23,6.44,Default
45,-20.0,20.0,20.0,-20.0,9.88,1.36,-20.0,-6.83,0.57,-20.0,5.06,20.0,Default
2,-19.9,11.57,-15.36,-20.0,-20.0,-19.54,-20.0,-20.0,-19.89,-20.0,-20.0,-0.84,Default
42,20.0,-20.0,20.0,20.0,-20.0,4.23,20.0,-18.05,0.19,20.0,-0.91,18.2,Default
22,7.99,20.0,20.0,-20.0,-20.0,3.58,-20.0,-20.0,0.82,-20.0,-20.0,20.0,Default
25,-20.0,20.0,20.0,-20.0,15.32,1.34,-20.0,-11.83,-1.76,-20.0,6.95,20.0,Default
8,20.0,-20.0,20.0,20.0,-20.0,2.93,20.0,-12.5,0.13,20.0,-0.61,12.97,Default
9,-20.0,20.0,14.37,-20.0,15.32,-1.11,-20.0,4.26,-2.38,-20.0,11.86,20.0,Default
33,14.37,16.01,6.47,1.69,-20.0,-0.63,2.15,-20.0,-1.21,3.01,-20.0,20.0,Default
15,-20.0,20.0,4.75,-20.0,-20.0,-17.55,-20.0,-20.0,-19.39,-20.0,-20.0,20.0,Default
4,4.9,-20.0,20.0,10.7,-20.0,20.0,-0.22,-20.0,20.0,-2.11,-20.0,20.0,Default
57,-20.0,20.0,20.0,-20.0,20.0,-6.59,-20.0,-8.16,-9.94,-20.0,11.42,20.0,Default
22,-20.0,20.0,20.0,-20.0,15.32,0.88,-20.0,-8.81,-1.88,-20.0,7.87,20.0,Default
59,12.37,20.0,20.0,-20.0,-20.0,3.35,-20.0,-20.0,-0.21,-20.0,-20.0,20.0,Default
52,20.0,-20.0,20.0,20.0,-20.0,7.49,20.0,-20.0,0.33,20.0,-1.68,20.0,Default
55,-20.0,20.0,20.0,-20.0,9.88,2.89,-20.0,-16.88,0.96,-20.0,1.99,20.0,Default
42,-20.0,20.0,20.0,-20.0,9.88,0.9,-20.0,-3.81,0.46,-20.0,5.98,20.0,Default
