Time,imu0_ax,imu0_ay,imu0_az,imu1_ax,imu1_ay,imu1_az,imu2_ax,imu2_ay,imu2_az,imu3_ax,imu3_ay,imu3_az,Gesture
0,19.92,18,-18.45,17.38,0.23,-19.85,17.47,-1.82,-19.96,17.55,-0.57,-13.61,Backward
1,19.85,20,-16.91,14.76,0.23,-19.69,14.94,-2.83,-19.92,15.1,-0.88,-7.22,Backward
2,19.77,20,-15.36,12.14,0.23,-19.54,12.42,-3.83,-19.89,12.64,-1.19,-0.84,Backward
3,19.69,20,-13.81,9.52,0.23,-19.39,9.89,-4.84,-19.85,10.19,-1.49,5.55,Backward
4,19.62,20,-12.27,6.9,0.23,-19.23,7.36,-5.84,-19.81,7.74,-1.8,11.94,Backward
5,19.54,20,-10.72,4.28,0.23,-19.08,4.83,-6.85,-19.77,5.29,-2.11,18.33,Backward
6,19.46,20,-9.17,1.66,0.23,-18.93,2.3,-7.85,-19.73,2.84,-2.41,20,Backward
7,19.39,20,-7.63,-0.95,0.23,-18.77,-0.23,-8.86,-19.69,0.39,-2.72,20,Backward
8,19.31,20,-6.08,-3.57,0.23,-18.62,-2.75,-9.86,-19.66,-2.07,-3.03,20,Backward
9,19.23,20,-4.53,-6.19,0.23,-18.47,-5.28,-10.87,-19.62,-4.52,-3.33,20,Backward
10,19.16,20,-2.99,-8.81,0.23,-18.31,-7.81,-11.88,-19.58,-6.97,-3.64,20,Backward
11,19.08,20,-1.44,-11.43,0.23,-18.16,-10.34,-12.88,-19.54,-9.42,-3.95,20,Backward
12,19,20,0.11,-14.05,0.23,-18.01,-12.87,-13.89,-19.5,-11.87,-4.25,20,Backward
13,18.93,20,1.65,-16.67,0.23,-17.85,-15.4,-14.89,-19.46,-14.32,-4.56,20,Backward
14,18.85,20,3.2,-19.29,0.23,-17.7,-17.92,-15.9,-19.43,-16.78,-4.87,20,Backward
15,18.77,20,4.75,-20,0.23,-17.55,-20,-16.9,-19.39,-19.23,-5.17,20,Backward
16,18.7,20,6.29,-20,0.23,-17.4,-20,-17.91,-19.35,-20,-5.48,20,Backward
17,18.62,20,7.84,-20,0.23,-17.24,-20,-18.91,-19.31,-20,-5.78,20,Backward
18,18.54,20,9.39,-20,0.23,-17.09,-20,-19.92,-19.27,-20,-6.09,20,Backward
19,18.47,20,10.93,-20,0.23,-16.94,-20,-20,-19.23,-20,-6.4,20,Backward
20,18.39,20,12.48,-20,0.23,-16.78,-20,-20,-19.2,-20,-6.7,20,Backward
21,18.31,20,14.03,-20,0.23,-16.63,-20,-20,-19.16,-20,-7.01,20,Backward
22,18.24,20,15.57,-20,0.23,-16.48,-20,-20,-19.12,-20,-7.32,20,Backward
23,18.16,20,17.12,-20,0.23,-16.32,-20,-20,-19.08,-20,-7.62,20,Backward
24,18.08,20,18.67,-20,0.23,-16.17,-20,-20,-19.04,-20,-7.93,20,Backward
25,18.01,20,20,-20,0.23,-16.02,-20,-20,-19,-20,-8.24,20,Backward
26,17.93,20,20,-20,0.23,-15.86,-20,-20,-18.97,-20,-8.54,20,Backward
27,17.85,20,20,-20,0.23,-15.71,-20,-20,-18.93,-20,-8.85,20,Backward
28,17.78,20,20,-20,0.23,-15.56,-20,-20,-18.89,-20,-9.16,20,Backward
29,17.7,20,20,-20,0.23,-15.4,-20,-20,-18.85,-20,-9.46,20,Backward
30,19.92,20,-18.45,17.38,4.94,-19.85,17.47,2.95,-19.96,17.55,4.29,-13.61,Backward
31,19.85,20,-16.91,14.76,4.94,-19.69,14.94,1.94,-19.92,15.1,3.98,-7.22,Backward
32,19.77,20,-15.36,12.14,4.94,-19.54,12.42,0.94,-19.89,12.64,3.68,-0.84,Backward
33,19.69,20,-13.81,9.52,4.94,-19.39,9.89,-0.07,-19.85,10.19,3.37,5.55,Backward
34,19.62,20,-12.27,6.9,4.94,-19.23,7.36,-1.07,-19.81,7.74,3.06,11.94,Backward
35,19.54,20,-10.72,4.28,4.94,-19.08,4.83,-2.08,-19.77,5.29,2.76,18.33,Backward
36,19.46,20,-9.17,1.66,4.94,-18.93,2.3,-3.08,-19.73,2.84,2.45,20,Backward
37,19.39,20,-7.63,-0.95,4.94,-18.77,-0.23,-4.09,-19.69,0.39,2.15,20,Backward
38,19.31,20,-6.08,-3.57,4.94,-18.62,-2.75,-5.09,-19.66,-2.07,1.84,20,Backward
39,19.23,20,-4.53,-6.19,4.94,-18.47,-5.28,-6.1,-19.62,-4.52,1.53,20,Backward
40,19.16,20,-2.99,-8.81,4.94,-18.31,-7.81,-7.11,-19.58,-6.97,1.23,20,Backward
41,19.08,20,-1.44,-11.43,4.94,-18.16,-10.34,-8.11,-19.54,-9.42,0.92,20,Backward
42,19,20,0.11,-14.05,4.94,-18.01,-12.87,-9.12,-19.5,-11.87,0.61,20,Backward
43,18.93,20,1.65,-16.67,4.94,-17.85,-15.4,-10.12,-19.46,-14.32,0.31,20,Backward
44,18.85,20,3.2,-19.29,4.94,-17.7,-17.92,-11.13,-19.43,-16.78,0,20,Backward
